"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1354","E[883]",0.7526828242027,0.755562,0.252270469006898,0.2511235293,0.3323628,1.163537,1.00009547607179,40647.4339695154,32739.2344751299
"1355","E[884]",0.716701278867025,0.7188015,0.251221114794339,0.2494051959,0.2979147,1.1212535,1.00005366428837,41036.8849310424,31379.6121171996
"1356","E[885]",0.658110751837525,0.663667,0.253861892506701,0.2517469626,0.2320787,1.06707,0.999983152479703,41338.8419832258,31299.1569823822
"1357","E[886]",0.615152330821515,0.61967,0.256417020092658,0.2552281074,0.1882153,1.0305335,1.00000019873266,41110.3799702108,32774.9535333595
"1358","E[887]",0.605251087156037,0.609211,0.260562762725696,0.2600391444,0.1705328,1.025285,1.00000478148504,40996.6676999204,32316.6352868922
"1359","E[888]",-1.13046010030025,-1.095335,0.538324466280957,0.5282021955,-2.079562,-0.309931000000001,1.00002802828256,50342.6784144567,29286.9812507379
"1360","E[889]",-1.10097681579927,-1.06566,0.538202947158788,0.5281695783,-2.0487925,-0.2753317,1.00012115796065,50148.1872212442,30082.1782377423
"1361","E[890]",-1.17447051058987,-1.1385,0.536512735392938,0.5253948924,-2.1175905,-0.354627200000001,1.00009241615371,50396.9343474693,29667.6576621594
"1362","E[891]",-1.21202468110042,-1.178135,0.535493089476158,0.5238752274,-2.155933,-0.395147200000001,1.0001147939416,51193.0976419167,30917.0875796964
"1363","E[892]",-1.20655621474319,-1.171755,0.535209739013004,0.5227410384,-2.1488615,-0.38696735,1.00010211551756,50679.6712196862,30079.9432566757
"1364","E[893]",-1.22993557569204,-1.196155,0.535280331502229,0.5225015985,-2.169052,-0.4110535,1.00012703971501,50584.0092424195,30800.5745453651
"1365","E[894]",-1.2590146854265,-1.224245,0.535210425773946,0.5208618429,-2.2055325,-0.4430752,1.00011871243175,50936.218928657,31314.1635227981
"1366","E[895]",-1.24179797084228,-1.2092,0.536461649181489,0.5240079201,-2.183498,-0.4204611,1.00012378362247,51046.9548842859,30259.6887033451
"1367","E[896]",-1.2777795321655,-1.24532,0.53615260194773,0.5231102058,-2.221275,-0.459567750000001,1.00011967640846,51211.8950595805,30493.3040704919
"1368","E[897]",-1.33637003244125,-1.30252,0.537796556052897,0.5270961759,-2.285629,-0.516453250000001,1.00010242444902,50987.732000527,30806.6076510846
"1369","E[898]",-1.37932846082573,-1.34668,0.540325122245852,0.5292548415,-2.328471,-0.55142525,1.00016158236581,50319.8627424508,31826.6595929022
"1370","E[899]",-0.537442553780185,-0.5128075,0.460523011418976,0.4555206957,-1.3313405,0.17516845,1.00003870338234,39728.5564893166,23990.9229879601
"1371","E[900]",-0.547460669916046,-0.523025,0.459460985336687,0.4526778102,-1.339873,0.158989449999999,1.00002209468215,39056.140256394,24443.7480673456
"1372","E[901]",-0.830487471739838,-0.7767055,0.989352775899337,0.9838793055,-2.5406825,0.69832,1.00015805552054,60709.8981152132,28968.2276258842
"1373","E[902]",-0.57149211392651,-0.5458455,0.457356532129939,0.4515880992,-1.3653515,0.13060025,1.00006959911373,39316.6893311641,24572.1293418254
"1374","E[903]",-0.594871484305198,-0.569425,0.457437775032441,0.4509290835,-1.3883135,0.109428749999999,1.00008591988262,39199.0920374724,24090.5924466563
"1375","E[904]",-0.623950582223795,-0.597793,0.456943495214549,0.4506503547,-1.413334,0.0809581249999997,1.00010586527635,39646.2495718373,24393.6350189938
"1376","E[905]",-0.60673388430058,-0.5814225,0.458505319814431,0.4517667525,-1.3991445,0.0982683499999999,1.00003748463453,39544.428236803,23931.6171993191
