"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1462","E[974]",2.3947641305,2.3884,0.317600156594035,0.313584726,1.8818715,2.9271715,0.999983819564447,40163.9253252383,28086.4778791758
"1463","E[975]",2.37683615775,2.370945,0.317883012150516,0.314526177,1.8684375,2.909518,0.999974093299767,39571.1068602779,28042.4178313154
"1464","E[976]",2.34961798275,2.342495,0.320418107892875,0.318603327,1.8324295,2.885336,0.999980564571108,40407.6625268884,29997.4656478675
"1465","E[977]",2.3542276385,2.346205,0.316668549239525,0.314429808,1.845867,2.8880005,0.999984302437976,39852.0423629066,28627.4573888612
"1466","E[978]",2.8629185922,2.825795,0.667912844007434,0.6516027,1.8340675,4.0362155,1.00002931569727,72800.099530357,28901.6845411528
"1467","E[979]",2.73392237655,2.69453,0.694276662744395,0.689127306,1.662048,3.9407,1.00025523867736,70285.8593298677,27200.162664308
"1468","E[980]",1.46317786801858,1.4574,1.01752462451731,1.0172429946,-0.1830906,3.142295,0.99998160333557,43448.6695152316,30151.2293469443
"1469","E[981]",2.52095523098,2.48181,0.709437059812938,0.698171166,1.4230885,3.745767,1.00028048006942,71033.5564694433,29587.3367492917
"1470","E[982]",3.03753832875,3.02392,0.357837528739565,0.354519312,2.4724595,3.6461935,1.00011150475216,40974.5116223087,27717.8692186737
"1471","E[983]",2.979141076,2.96406,0.35299109947505,0.349315386,2.42566,3.5837405,0.999982963553246,41382.953110303,27196.0815796568
"1472","E[984]",2.98127512175,2.966145,0.354628074654226,0.351835806,2.427568,3.5851105,1.00007905539117,41304.1780147055,27601.4876582822
"1473","E[985]",2.84871543875,2.83442,0.361868474075818,0.357706902,2.2769875,3.460535,1.0000414830052,39399.2780056935,26995.0962933626
"1474","E[986]",2.91801584475,2.90248,0.355976657633069,0.354059706,2.359415,3.5298315,1.00005489220287,41018.0116068536,27640.9050678733
"1475","E[987]",3.2535457328,3.203585,0.697422910611137,0.690431994000001,2.1976585,4.481183,1.00017296120714,74840.8790518708,26994.4758954774
"1476","E[988]",2.3798888625,2.370995,0.312509705233914,0.310908633,1.8843695,2.9095045,1.00020933268014,40089.0330719943,26183.1940927018
"1477","E[989]",2.1462823972,2.14112,0.312039038507354,0.310093203,1.6422145,2.66943,0.999981503485118,38254.6719449593,26589.3965302014
"1478","E[990]",2.121225750675,2.114185,0.31039266563834,0.311820432,1.6198895,2.6335955,1.00003580875394,37907.4537064697,26032.1585083859
