"","variable_type","variable","rhat","ess_bulk","ess_tail"
"66","obs_raw","obs_raw[13]",1.00023117976018,25962.4606633013,26958.2432929398
"67","obs_raw","obs_raw[14]",1.00012201756382,35934.1129380343,29645.1127834475
"68","obs_raw","obs_raw[15]",1.00004452666635,37155.1232938925,31513.5398902803
"69","obs_raw","obs_raw[16]",1.00016220965549,21399.3204016421,26487.5815302453
"70","obs_raw","obs_raw[17]",1.00008455061589,46034.6174320156,30084.546547935
"71","obs_raw","obs_raw[18]",1.00015899221526,35942.7885160968,31316.3249004263
"72","obs_raw","obs_raw[19]",1.00020011821179,21543.8257841132,27554.6487228188
"73","obs_raw","obs_raw[20]",0.999978684230771,42133.9554154524,31480.3329909294
"74","obs_raw","obs_raw[21]",1.00014175801853,25868.7167846275,27171.7416883687
"75","obs_raw","obs_raw[22]",1.00014329462373,56902.847170445,30502.2953414326
"76","obs_raw","obs_raw[23]",1.00003291676838,25516.7556158648,29483.2402634502
"77","obs_raw","obs_raw[24]",0.99998837348656,34121.963887755,29284.5374831576
"78","obs_raw","obs_raw[25]",1.00003395691455,30535.6173753085,30660.8720280763
"79","obs_raw","obs_raw[26]",1.00003913664135,32822.921504154,29436.1420813225
"80","obs_raw","obs_raw[27]",1.00001548465347,34579.6566684223,30781.5591409639
"81","obs_raw","obs_raw[28]",1.00018616649968,32150.8882317384,31130.6975197465
"82","obs_raw","obs_raw[29]",1.00005916876919,31984.6565577856,29807.5039524884
"83","obs_raw","obs_raw[30]",1.00013489957497,33638.6574284175,30892.887887876
"84","obs_raw","obs_raw[31]",1.00003856672931,36424.3462971076,30735.993301249
"85","obs_raw","obs_raw[32]",1.00018608750089,28798.3846933345,29672.535284251
"86","obs_raw","obs_raw[33]",1.00011229186721,45921.731677692,30973.8703417439
"87","obs_raw","obs_raw[34]",1.00010268162116,54867.6788410799,30522.1184816802
"88","obs_raw","obs_raw[35]",1.00019993625095,25333.7762226467,26295.4639338428
"89","obs_raw","obs_raw[36]",1.00000283379745,45625.1719890947,31031.3502593175
"90","obs_raw","obs_raw[37]",1.00017680404501,30591.0209088597,30614.4864843281
"91","obs_raw","obs_raw[38]",1.00000491476817,56068.9923433316,29417.8327726845
"92","obs_raw","obs_raw[39]",1.00003739607017,47752.9472460534,30371.8205821906
"93","obs_raw","obs_raw[40]",1.00023735069606,53745.64386123,29526.4124723907
"94","obs_raw","obs_raw[41]",1.00013884366566,21943.9394721093,28223.6664803195
"95","obs_raw","obs_raw[42]",1.0001790382741,36041.7066943534,31509.4249756742
"96","obs_raw","obs_raw[43]",1.00003163941858,38274.1628150105,32292.6340905692
"97","obs_raw","obs_raw[44]",1.00007251411453,27065.0974038549,30112.5366377918
"98","obs_raw","obs_raw[45]",1.00017679072441,47038.1646882622,31402.6260869522
"99","obs_raw","obs_raw[46]",1.0001269881897,55350.4543841723,27928.8349077647
"100","obs_raw","obs_raw[47]",1.00026075952867,29781.9090852203,29386.6720697713
"101","obs_raw","obs_raw[48]",1.00002015938914,49872.8505122199,29455.4868676864
"102","obs_raw","obs_raw[49]",1.00002290979752,39548.9835464717,30266.5583971163
"103","obs_raw","obs_raw[50]",1.00010097635357,27677.9033687182,28427.9017145014
"104","obs_raw","obs_raw[51]",0.999967757924571,47919.3796192031,28658.8562223596
"105","obs_raw","obs_raw[52]",1.000014510141,35269.6496054567,29918.4172577889
"106","obs_raw","obs_raw[53]",1.00008554771824,48144.3137524278,29286.3328985607
"107","obs_raw","obs_raw[54]",1.00002309381703,25720.0819478949,26738.5776394915
"108","obs_raw","obs_raw[55]",0.999992349317996,27626.1240758129,30533.829958076
"109","obs_raw","obs_raw[56]",1.00012062335434,47914.0616822572,32713.1768877192
"110","obs_raw","obs_raw[57]",1.00002067832463,48077.1433529515,29199.9382053861
"111","obs_raw","obs_raw[58]",1.00013296378084,20003.0163453018,26322.4083823451
"112","obs_raw","obs_raw[59]",1.00006403713508,52686.4494726797,30003.7009343315
"113","obs_raw","obs_raw[60]",1.00014354444279,46087.722861456,32016.2812743107
"114","obs_raw","obs_raw[61]",1.00003413057705,37200.7811605921,32005.9487407766
"115","obs_raw","obs_raw[62]",1.00018714401352,29386.5122116586,28637.3162744066
"116","obs_raw","obs_raw[63]",1.00016159880026,35701.7264672971,30184.0555689546
"117","obs_raw","obs_raw[64]",1.00022338010997,35401.3546418401,30473.054480745
"118","obs_raw","obs_raw[65]",1.00011115701997,35140.5343240245,30571.3030178906
"119","obs_raw","obs_raw[66]",1.00027983778619,23735.0556170512,29495.08765104
"120","obs_raw","obs_raw[67]",0.999957524634853,41942.1402747224,30138.7610279436
"121","obs_raw","obs_raw[68]",1.00003391236215,25920.4552854523,28959.9151627246
"122","obs_raw","obs_raw[69]",0.999985610041464,29017.5300501515,30352.3636819256
"123","obs_raw","obs_raw[70]",1.00011068705939,24779.3458120232,28111.1128914199
"124","obs_raw","obs_raw[71]",1.00033262049135,29152.4938627717,31365.4761074592
"125","obs_raw","obs_raw[72]",1.00007906611494,21188.6082691116,27082.8417212042
"126","obs_raw","obs_raw[73]",1.00009854097713,24025.6134045761,28708.1990371592
"127","obs_raw","obs_raw[74]",1.00007522117718,31388.816871998,28614.3870658828
"128","obs_raw","obs_raw[75]",1.00002673079546,48051.059206034,32087.032584476
"129","obs_raw","obs_raw[76]",1.00011437532843,25096.0921316339,29903.1691608595
"130","obs_raw","obs_raw[77]",1.0001211019157,39437.8362769622,29474.8342731896
