"common_name","sp_id","spqrt_standard"
"Blue-gray Gnatcatcher",9,374
"Blue-gray Gnatcatcher",9,375
"Blue-gray Gnatcatcher",9,376
"Blue-gray Gnatcatcher",9,377
"Blue-gray Gnatcatcher",9,378
"Blue-gray Gnatcatcher",9,379
"Blue-gray Gnatcatcher",9,380
"Blue-gray Gnatcatcher",9,381
"Blue-gray Gnatcatcher",9,382
"Blue-gray Gnatcatcher",9,383
"Blue-gray Gnatcatcher",9,384
"Blue-gray Gnatcatcher",9,385
"Blue-gray Gnatcatcher",9,386
"Blue-gray Gnatcatcher",9,387
"Blue-gray Gnatcatcher",9,388
"Blue-gray Gnatcatcher",9,389
"Blue-gray Gnatcatcher",9,390
"Blue-gray Gnatcatcher",9,391
"Brown Thrasher",10,392
"Brown Thrasher",10,393
"Brown Thrasher",10,394
"Brown Thrasher",10,395
"Brown Thrasher",10,396
"Brown Thrasher",10,397
"Brown Thrasher",10,398
"Brown Thrasher",10,399
"Brown Thrasher",10,400
"Brown Thrasher",10,401
"Brown Thrasher",10,402
"Brown Thrasher",10,403
"Brown Thrasher",10,404
"Brown Thrasher",10,405
"Brown Thrasher",10,406
"Brown Thrasher",10,407
"Brown Thrasher",10,408
"Brown Thrasher",10,409
"Brown Thrasher",10,410
"Brown Thrasher",10,411
"Brown Thrasher",10,412
"Brown Thrasher",10,413
"Brown Thrasher",10,414
"Brown Thrasher",10,415
"Brown Thrasher",10,416
"Brown Thrasher",10,417
"Brown Thrasher",10,418
"Brown Thrasher",10,419
"Brown Thrasher",10,420
"Brown Thrasher",10,421
"Brown Thrasher",10,422
"Brown Thrasher",10,423
"Brown Thrasher",10,424
"Brown Thrasher",10,425
"Brown Thrasher",10,426
"Brown Thrasher",10,427
"Brown Thrasher",10,428
"Brown Thrasher",10,429
"Brown Thrasher",10,430
"Brown Thrasher",10,431
"Brown Thrasher",10,432
"Brown Thrasher",10,433
"Brown Thrasher",10,434
"Brown Thrasher",10,435
"Brown Thrasher",10,436
"Brown Thrasher",10,437
"Brown Thrasher",10,438
"Brown Thrasher",10,439
"Brown Thrasher",10,440
"Brown Thrasher",10,441
"Brown Thrasher",10,442
"Brown Thrasher",10,443
"Brown Thrasher",10,444
"Brown-headed Cowbird",11,445
"Brown-headed Cowbird",11,446
"Brown-headed Cowbird",11,447
"Brown-headed Cowbird",11,448
"Brown-headed Cowbird",11,449
"Brown-headed Cowbird",11,450
"Brown-headed Cowbird",11,451
"Brown-headed Cowbird",11,452
"Brown-headed Cowbird",11,453
"Brown-headed Cowbird",11,454
"Brown-headed Cowbird",11,455
"Brown-headed Cowbird",11,456
"Brown-headed Cowbird",11,457
"Brown-headed Cowbird",11,458
"Brown-headed Cowbird",11,459
"Brown-headed Cowbird",11,460
"Brown-headed Cowbird",11,461
"Brown-headed Cowbird",11,462
"Brown-headed Cowbird",11,463
"Brown-headed Cowbird",11,464
"Brown-headed Cowbird",11,465
"Brown-headed Cowbird",11,466
"Brown-headed Cowbird",11,467
"Brown-headed Cowbird",11,468
"Brown-headed Cowbird",11,469
"Brown-headed Cowbird",11,470
"Brown-headed Cowbird",11,471
"Brown-headed Cowbird",11,472
"Brown-headed Cowbird",11,473
"Brown-headed Cowbird",11,474
"Brown-headed Cowbird",11,475
"Brown-headed Cowbird",11,476
"Brown-headed Cowbird",11,477
"Brown-headed Cowbird",11,478
"Brown-headed Cowbird",11,479
"Brown-headed Cowbird",11,480
"Brown-headed Cowbird",11,481
"Brown-headed Cowbird",11,482
"Brown-headed Cowbird",11,483
"Brown-headed Cowbird",11,484
"Brown-headed Cowbird",11,485
"Brown-headed Cowbird",11,486
"Brown-headed Cowbird",11,487
"Brown-headed Cowbird",11,488
"Brown-headed Cowbird",11,489
"Brown-headed Cowbird",11,490
"Brown-headed Cowbird",11,491
"Brown-headed Cowbird",11,492
"Brown-headed Cowbird",11,493
"Brown-headed Cowbird",11,494
"Brown-headed Cowbird",11,495
"Brown-headed Cowbird",11,496
"Brown-headed Cowbird",11,497
"Brown-headed Cowbird",11,498
"Brown-headed Cowbird",11,499
"Brown-headed Nuthatch",12,500
"Brown-headed Nuthatch",12,501
"Brown-headed Nuthatch",12,502
"Brown-headed Nuthatch",12,503
"Brown-headed Nuthatch",12,504
"Brown-headed Nuthatch",12,505
"Brown-headed Nuthatch",12,506
"Brown-headed Nuthatch",12,507
"Brown-headed Nuthatch",12,508
"Brown-headed Nuthatch",12,509
"Brown-headed Nuthatch",12,510
"Brown-headed Nuthatch",12,511
"Brown-headed Nuthatch",12,512
"Brown-headed Nuthatch",12,513
"Brown-headed Nuthatch",12,514
