"rownames","mean","se_mean","sd","conf_2.5","conf_25","conf_50","conf_75","conf_97.5","n_eff","Rhat","sp_id","spqrt_standard","slope","raw","flag_rhat","flag_neff"
"a_spqrt[2178]",0.0774845358866516,0.00252447554887688,0.180395473034546,-0.265366008645635,-0.0457697246337228,0.0753178129274888,0.19702066167474,0.438387940531031,5106.33064085583,0.999887690880791,NA,2178,NA,NA,FALSE,FALSE
"a_spqrt[2179]",-0.292267043142299,0.00407589423104621,0.202629578436987,-0.718043403978075,-0.422479621808723,-0.2836977898621,-0.155866123859426,0.0854121814364326,2471.49576496133,1.00060890158733,NA,2179,NA,NA,FALSE,FALSE
"a_spqrt[2180]",-0.0614830824626039,0.00268754660916273,0.189976169877941,-0.447606246393108,-0.18612927282744,-0.0550672747508494,0.0604179542119074,0.311804287178926,4996.73417346394,0.99996458722817,NA,2180,NA,NA,FALSE,FALSE
"a_spqrt[2181]",0.0169226311405359,0.00242209862425906,0.196967625339465,-0.369750889847116,-0.11033944736404,0.0183350906391894,0.141995608386888,0.409396490659411,6613.11465113561,0.999182307272768,NA,2181,NA,NA,FALSE,FALSE
"a_spqrt[2182]",-0.053070262323155,0.00240278597679191,0.19891573778913,-0.453751761125329,-0.18509370759315,-0.0501437765860613,0.0828197159770587,0.337251239846821,6853.43207173505,0.999496591166339,NA,2182,NA,NA,FALSE,FALSE
"a_spqrt[2183]",0.0259884998426845,0.00262619641928926,0.200337724743683,-0.370358838236465,-0.111185111662663,0.0232672532330315,0.162999030452616,0.416024250398702,5819.30425822379,0.999034504155471,NA,2183,NA,NA,FALSE,FALSE
"a_spqrt[2184]",-0.0362189268384045,0.00223993861779803,0.192363388934649,-0.403764962936891,-0.167475353147403,-0.0352450882011837,0.0900433670582407,0.342166529770309,7375.17966597473,0.999178793526194,NA,2184,NA,NA,FALSE,FALSE
"a_spqrt[2185]",0.0225877496581661,0.00234928232985315,0.186741104168083,-0.337112189795988,-0.100441614761447,0.0182299327045507,0.147068965605836,0.39624692770231,6318.43352138246,0.999086205606861,NA,2185,NA,NA,FALSE,FALSE
"a_spqrt[2186]",0.0373924851145254,0.0022731180522188,0.190570270959594,-0.331024407698236,-0.0895810164131914,0.0361018092820567,0.159552914368227,0.418024621141442,7028.55942376398,0.99941213566383,NA,2186,NA,NA,FALSE,FALSE
"a_spqrt[2187]",0.0247534623766537,0.00204703758950321,0.186171265713323,-0.340086788060756,-0.100553109870725,0.0249895657821218,0.149526264960605,0.391433698838668,8271.29799104765,0.999550986784313,NA,2187,NA,NA,FALSE,FALSE
"a_spqrt[2188]",-0.00219116229804791,0.0026395158800473,0.208951076704807,-0.419838613405636,-0.14028185885247,0.000707345709123667,0.138257108793619,0.415774250194754,6266.72545032817,0.99920847507817,NA,2188,NA,NA,FALSE,FALSE
