"file","spp_name","file_binomial","aou","english_common_name","family","genus","binomial","old_genus","new_binomial","matched_filename","species_code","mig_dist_m"
"Tympanuchus_pallidicinctus_22679519.shp","Tympanuchus_pallidicinctus","Tympanuchus pallidicinctus",3070,"Lesser Prairie-Chicken","Phasianidae","Tympanuchus","Tympanuchus pallidicinctus",NA,NA,"Tympanuchus_pallidicinctus",NA,0
"Meleagris_gallopavo_22679525.shp","Meleagris_gallopavo","Meleagris gallopavo",3100,"Wild Turkey","Phasianidae","Meleagris","Meleagris gallopavo",NA,NA,"Meleagris_gallopavo",NA,0
"Columba_livia_22690066.shp","Columba_livia","Columba livia",3131,"Rock Pigeon","Columbidae","Columba","Columba livia",NA,NA,"Columba_livia",NA,0
"Patagioenas_leucocephala_22690229.shp","Patagioenas_leucocephala","Patagioenas leucocephala",3140,"White-crowned Pigeon","Columbidae","Patagioenas","Patagioenas leucocephala",NA,NA,"Patagioenas_leucocephala",NA,0
"Patagioenas_flavirostris_22690296.shp","Patagioenas_flavirostris","Patagioenas flavirostris",3130,"Red-billed Pigeon","Columbidae","Patagioenas","Patagioenas flavirostris",NA,NA,"Patagioenas_flavirostris",NA,20665.7996331658
"Patagioenas_fasciata_22725264.shp","Patagioenas_fasciata","Patagioenas fasciata",3120,"Band-tailed Pigeon","Columbidae","Patagioenas","Patagioenas fasciata",NA,NA,"Patagioenas_fasciata",NA,707282.357176236
"Streptopelia_roseogrisea_22690515.shp","Streptopelia_roseogrisea","Streptopelia roseogrisea",3152,"African Collared-Dove (a.k.a. Ringed Turtle-Dove)","Columbidae","Streptopelia","Streptopelia roseogrisea",NA,NA,"Streptopelia_roseogrisea",NA,1005294.15616677
"Streptopelia_decaocto_22727811.shp","Streptopelia_decaocto","Streptopelia decaocto",22860,"Eurasian Collared-Dove","Columbidae","Streptopelia","Streptopelia decaocto",NA,NA,"Streptopelia_decaocto",NA,0
"Columbina_inca_22690762.shp","Columbina_inca","Columbina inca",3210,"Inca Dove","Columbidae","Columbina","Columbina inca",NA,NA,"Columbina_inca",NA,0
"Columbina_passerina_22690774.shp","Columbina_passerina","Columbina passerina",3200,"Common Ground-Dove","Columbidae","Columbina","Columbina passerina",NA,NA,"Columbina_passerina",NA,0
"Columbina_talpacoti_22690784.shp","Columbina_talpacoti","Columbina talpacoti",3201,"Ruddy Ground-Dove","Columbidae","Columbina","Columbina talpacoti",NA,NA,"Columbina_talpacoti",NA,0
"Leptotila_verreauxi_22690854.shp","Leptotila_verreauxi","Leptotila verreauxi",3180,"White-tipped Dove","Columbidae","Leptotila","Leptotila verreauxi",NA,NA,"Leptotila_verreauxi",NA,0
"Zenaida_asiatica_22733956.shp","Zenaida_asiatica","Zenaida asiatica",3190,"White-winged Dove","Columbidae","Zenaida","Zenaida asiatica",NA,NA,"Zenaida_asiatica",NA,473957.024944066
"Zenaida_macroura_22690736.shp","Zenaida_macroura","Zenaida macroura",3160,"Mourning Dove","Columbidae","Zenaida","Zenaida macroura",NA,NA,"Zenaida_macroura",NA,525169.136779727
"Coccyzus_americanus_22684331.shp","Coccyzus_americanus","Coccyzus americanus",3870,"Yellow-billed Cuckoo","Cuculidae","Coccyzus","Coccyzus americanus",NA,NA,"Coccyzus_americanus",NA,6135800.7402491
"Coccyzus_minor_22684337.shp","Coccyzus_minor","Coccyzus minor",3860,"Mangrove Cuckoo","Cuculidae","Coccyzus","Coccyzus minor",NA,NA,"Coccyzus_minor",NA,0
"Coccyzus_erythropthalmus_22684328.shp","Coccyzus_erythropthalmus","Coccyzus erythropthalmus",3880,"Black-billed Cuckoo","Cuculidae","Coccyzus","Coccyzus erythropthalmus",NA,NA,"Coccyzus_erythropthalmus",NA,5735561.671382
"Geococcyx_californianus_22684458.shp","Geococcyx_californianus","Geococcyx californianus",3850,"Greater Roadrunner","Cuculidae","Geococcyx","Geococcyx californianus",NA,NA,"Geococcyx_californianus",NA,0
"Crotophaga_ani_22684434.shp","Crotophaga_ani","Crotophaga ani",3830,"Smooth-billed Ani","Cuculidae","Crotophaga","Crotophaga ani",NA,NA,"Crotophaga_ani",NA,0
"Crotophaga_sulcirostris_22684438.shp","Crotophaga_sulcirostris","Crotophaga sulcirostris",3840,"Groove-billed Ani","Cuculidae","Crotophaga","Crotophaga sulcirostris",NA,NA,"Crotophaga_sulcirostris",NA,53061.7758293369
"Cypseloides_niger_22686440.shp","Cypseloides_niger","Cypseloides niger",4220,"Black Swift","Apodidae","Cypseloides","Cypseloides niger",NA,NA,"Cypseloides_niger",NA,3249755.3614444
"Chaetura_pelagica_22686709.shp","Chaetura_pelagica","Chaetura pelagica",4230,"Chimney Swift","Apodidae","Chaetura","Chaetura pelagica",NA,NA,"Chaetura_pelagica",NA,5194801.98945828
"Chaetura_vauxi_22733935.shp","Chaetura_vauxi","Chaetura vauxi",4240,"Vaux's Swift","Apodidae","Chaetura","Chaetura vauxi",NA,NA,"Chaetura_vauxi",NA,2950210.27953236
"Aeronautes_saxatalis_22686733.shp","Aeronautes_saxatalis","Aeronautes saxatalis",4250,"White-throated Swift","Apodidae","Aeronautes","Aeronautes saxatalis",NA,NA,"Aeronautes_saxatalis",NA,854690.650516037
"Eugenes_fulgens_22687746.shp","Eugenes_fulgens","Eugenes fulgens",4260,"Magnificent Hummingbird","Trochilidae","Eugenes","Eugenes fulgens",NA,NA,"Eugenes_fulgens",NA,245767.243184504
"Lampornis_clemenciae_22687664.shp","Lampornis_clemenciae","Lampornis clemenciae",4270,"Blue-throated Hummingbird","Trochilidae","Lampornis","Lampornis clemenciae",NA,NA,"Lampornis_clemenciae",NA,286540.230892913
"Calothorax_lucifer_22688185.shp","Calothorax_lucifer","Calothorax lucifer",4370,"Lucifer Hummingbird","Trochilidae","Calothorax","Calothorax lucifer",NA,NA,"Calothorax_lucifer",NA,803620.892429529
"Archilochus_colubris_22688193.shp","Archilochus_colubris","Archilochus colubris",4280,"Ruby-throated Hummingbird","Trochilidae","Archilochus","Archilochus colubris",NA,NA,"Archilochus_colubris",NA,2829759.58361058
"Empidonax_hammondii_22699857.shp","Empidonax_hammondii","Empidonax hammondii",4680,"Hammond's Flycatcher","Tyrannidae","Empidonax","Empidonax hammondii",NA,NA,"Empidonax_hammondii",NA,3992780.70025002
"Empidonax_wrightii_22699860.shp","Empidonax_wrightii","Empidonax wrightii",4691,"Gray Flycatcher","Tyrannidae","Empidonax","Empidonax wrightii",NA,NA,"Empidonax_wrightii",NA,1872988.87332995
"Empidonax_oberholseri_22699864.shp","Empidonax_oberholseri","Empidonax oberholseri",4690,"Dusky Flycatcher","Tyrannidae","Empidonax","Empidonax oberholseri",NA,NA,"Empidonax_oberholseri",NA,2780841.0151025
"Empidonax_difficilis_22699871.shp","Empidonax_difficilis","Empidonax difficilis",4641,"Pacific-slope Flycatcher","Tyrannidae","Empidonax","Empidonax difficilis",NA,NA,"Empidonax_difficilis",NA,3310410.5975492
"Empidonax_occidentalis_22699874.shp","Empidonax_occidentalis","Empidonax occidentalis",4640,"Cordilleran Flycatcher","Tyrannidae","Empidonax","Empidonax occidentalis",NA,NA,"Empidonax_occidentalis",NA,1902924.70622087
"Empidonax_fulvifrons_22699880.shp","Empidonax_fulvifrons","Empidonax fulvifrons",4700,"Buff-breasted Flycatcher","Tyrannidae","Empidonax","Empidonax fulvifrons",NA,NA,"Empidonax_fulvifrons",NA,135803.884720667
"Sayornis_nigricans_22699892.shp","Sayornis_nigricans","Sayornis nigricans",4580,"Black Phoebe","Tyrannidae","Sayornis","Sayornis nigricans",NA,NA,"Sayornis_nigricans",NA,109410.842745798
"Sayornis_phoebe_22699886.shp","Sayornis_phoebe","Sayornis phoebe",4560,"Eastern Phoebe","Tyrannidae","Sayornis","Sayornis phoebe",NA,NA,"Sayornis_phoebe",NA,1959009.93271919
"Sayornis_saya_22699889.shp","Sayornis_saya","Sayornis saya",4570,"Say's Phoebe","Tyrannidae","Sayornis","Sayornis saya",NA,NA,"Sayornis_saya",NA,2856877.81572852
"Pyrocephalus_rubinus_22699895.shp","Pyrocephalus_rubinus","Pyrocephalus rubinus",4710,"Vermilion Flycatcher","Tyrannidae","Pyrocephalus","Pyrocephalus rubinus",NA,NA,"Pyrocephalus_rubinus",NA,1010338.42720761
"Myiarchus_tuberculifer_22700399.shp","Myiarchus_tuberculifer","Myiarchus tuberculifer",4550,"Dusky-capped Flycatcher","Tyrannidae","Myiarchus","Myiarchus tuberculifer",NA,NA,"Myiarchus_tuberculifer",NA,173912.021060802
"Myiarchus_cinerascens_22700427.shp","Myiarchus_cinerascens","Myiarchus cinerascens",4540,"Ash-throated Flycatcher","Tyrannidae","Myiarchus","Myiarchus cinerascens",NA,NA,"Myiarchus_cinerascens",NA,1345453.72076786
"Myiarchus_crinitus_22700433.shp","Myiarchus_crinitus","Myiarchus crinitus",4520,"Great Crested Flycatcher","Tyrannidae","Myiarchus","Myiarchus crinitus",NA,NA,"Myiarchus_crinitus",NA,3115265.29866906
