"route","stop_num","year","perc_barren"
"cthm-10",15,2011,0.359712230215827
"cthm-13",18,2011,2.5089605734767
"cthm-14",1,2011,1.07719928186715
"drhm-04",19,2011,12.4777183600713
"orng-06",12,2011,3.92156862745098
"cthm-03",9,2012,1.26582278481013
"cthm-03",15,2012,11.8918918918919
"cthm-09",20,2012,1.97486535008977
"cthm-10",14,2012,0.715563506261181
"cthm-10",15,2012,0.359712230215827
"cthm-13",18,2012,0.896057347670251
"cthm-14",1,2012,1.07719928186715
"drhm-04",19,2012,12.4777183600713
"orng-06",12,2012,3.92156862745098
"cthm-03",9,2013,1.26582278481013
"cthm-03",15,2013,12.4324324324324
"cthm-09",20,2013,1.79533213644524
"cthm-10",14,2013,0.715563506261181
"cthm-10",15,2013,0.359712230215827
"cthm-14",1,2013,1.07719928186715
"drhm-04",19,2013,12.2994652406417
"orng-06",12,2013,3.92156862745098
"cthm-03",9,2014,1.08499095840868
"cthm-03",15,2014,12.7927927927928
"cthm-09",20,2014,1.61579892280072
"cthm-10",14,2014,0.715563506261181
"cthm-10",15,2014,0.359712230215827
"cthm-14",1,2014,1.07719928186715
"drhm-04",19,2014,12.4777183600713
"orng-06",12,2014,3.74331550802139
"cthm-03",9,2015,1.26582278481013
"cthm-03",15,2015,12.972972972973
"cthm-09",20,2015,1.79533213644524
"cthm-10",14,2015,0.715563506261181
"cthm-10",15,2015,0.359712230215827
"cthm-14",1,2015,1.07719928186715
"drhm-04",19,2015,12.8342245989305
"orng-06",12,2015,3.5650623885918
"cthm-03",9,2016,1.62748643761302
"cthm-03",15,2016,15.8558558558559
"cthm-04",15,2016,0.36101083032491
"cthm-09",20,2016,1.79533213644524
"cthm-10",14,2016,0.715563506261181
"cthm-10",15,2016,0.359712230215827
"cthm-14",1,2016,1.07719928186715
"drhm-04",19,2016,13.3689839572193
"orng-06",12,2016,2.13903743315508
"cthm-03",9,2017,1.62748643761302
"cthm-03",15,2017,17.6576576576577
"cthm-04",15,2017,0.180505415162455
"cthm-09",20,2017,1.61579892280072
"cthm-10",14,2017,0.178890876565295
"cthm-14",1,2017,1.07719928186715
"drhm-04",19,2017,13.903743315508
"drhm-07",12,2017,0.180505415162455
"orng-06",12,2017,2.13903743315508
"cthm-03",9,2018,1.62748643761302
"cthm-03",15,2018,17.6576576576577
"cthm-04",15,2018,0.180505415162455
"cthm-09",20,2018,1.79533213644524
"cthm-10",14,2018,0.178890876565295
"cthm-14",1,2018,1.07719928186715
"drhm-04",19,2018,14.0819964349376
"orng-06",12,2018,2.13903743315508
"cthm-03",9,2019,1.62748643761302
"cthm-03",15,2019,18.1981981981982
"cthm-09",20,2019,1.61579892280072
"cthm-10",14,2019,0.178890876565295
"cthm-14",1,2019,1.07719928186715
"drhm-04",19,2019,12.2994652406417
"orng-06",12,2019,2.13903743315508
"cthm-03",8,2020,0.3584229390681
"cthm-03",9,2020,1.98915009041591
"cthm-03",15,2020,19.0990990990991
"cthm-09",20,2020,1.25673249551167
"cthm-10",14,2020,0.178890876565295
"cthm-14",1,2020,1.07719928186715
"drhm-04",19,2020,12.1212121212121
"orng-06",12,2020,2.13903743315508
"cthm-03",8,2021,5.19713261648745
"cthm-03",9,2021,2.7124773960217
"cthm-03",15,2021,18.9189189189189
"cthm-08",19,2021,0.18018018018018
"cthm-09",20,2021,1.25673249551167
"cthm-10",14,2021,0.178890876565295
"cthm-14",1,2021,1.07719928186715
"drhm-04",19,2021,13.0124777183601
"orng-06",12,2021,2.13903743315508
"cthm-03",8,2022,4.6594982078853
"cthm-03",9,2022,1.98915009041591
"cthm-03",11,2022,0.178571428571429
"cthm-03",12,2022,1.96779964221825
"cthm-03",13,2022,0.540540540540541
"cthm-03",15,2022,18.9189189189189
"cthm-09",20,2022,1.07719928186715
"cthm-10",14,2022,0.178890876565295
"cthm-14",1,2022,1.07719928186715
"drhm-04",19,2022,12.8342245989305
"orng-06",12,2022,2.13903743315508
"cthm-03",8,2023,7.34767025089606
"cthm-03",9,2023,2.35081374321881
"cthm-03",11,2023,0.178571428571429
"cthm-03",12,2023,3.22003577817531
"cthm-03",13,2023,2.88288288288288
"cthm-03",15,2023,19.0990990990991
"cthm-09",20,2023,1.07719928186715
"cthm-10",14,2023,0.178890876565295
"cthm-14",1,2023,1.07719928186715
"drhm-04",19,2023,16.3992869875223
"orng-06",12,2023,2.13903743315508
