"County_Route","nlcd","year","routequarter","frequency","totpix","class","ijbg_class","description","color","percent"
"Chatham-01","42",2001,1,472,2793,"forest","evergreen forest","Evergreen Forest","#1C6330",16.8993913354816
"Chatham-01","42",2004,1,450,2793,"forest","evergreen forest","Evergreen Forest","#1C6330",16.1117078410312
"Chatham-01","42",2006,1,448,2793,"forest","evergreen forest","Evergreen Forest","#1C6330",16.0401002506266
"Chatham-01","42",2008,1,465,2793,"forest","evergreen forest","Evergreen Forest","#1C6330",16.6487647690655
"Chatham-01","42",2011,1,493,2793,"forest","evergreen forest","Evergreen Forest","#1C6330",17.6512710347297
"Chatham-01","42",2013,1,491,2793,"forest","evergreen forest","Evergreen Forest","#1C6330",17.5796634443251
"Chatham-01","42",2016,1,492,2793,"forest","evergreen forest","Evergreen Forest","#1C6330",17.6154672395274
"Chatham-01","42",2019,1,466,2793,"forest","evergreen forest","Evergreen Forest","#1C6330",16.6845685642678
"Chatham-01","42",2021,1,468,2793,"forest","evergreen forest","Evergreen Forest","#1C6330",16.7561761546724
"Chatham-01","43",2001,1,694,2793,"forest","mixed forest","Mixed Forest","#B5C98E",24.8478338703903
"Chatham-01","43",2004,1,680,2793,"forest","mixed forest","Mixed Forest","#B5C98E",24.3465807375582
"Chatham-01","43",2006,1,680,2793,"forest","mixed forest","Mixed Forest","#B5C98E",24.3465807375582
"Chatham-01","43",2008,1,684,2793,"forest","mixed forest","Mixed Forest","#B5C98E",24.4897959183673
"Chatham-01","43",2011,1,695,2793,"forest","mixed forest","Mixed Forest","#B5C98E",24.8836376655926
"Chatham-01","43",2013,1,697,2793,"forest","mixed forest","Mixed Forest","#B5C98E",24.9552452559971
"Chatham-01","43",2016,1,702,2793,"forest","mixed forest","Mixed Forest","#B5C98E",25.1342642320086
"Chatham-01","43",2019,1,682,2793,"forest","mixed forest","Mixed Forest","#B5C98E",24.4181883279628
"Chatham-01","43",2021,1,683,2793,"forest","mixed forest","Mixed Forest","#B5C98E",24.4539921231651
"Chatham-01","52",2001,1,12,2793,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.429645542427497
"Chatham-01","52",2004,1,7,2793,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.25062656641604
"Chatham-01","52",2006,1,23,2793,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.823487289652703
"Chatham-01","52",2008,1,46,2793,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",1.64697457930541
"Chatham-01","52",2011,1,13,2793,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.465449337629789
"Chatham-01","52",2013,1,13,2793,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.465449337629789
"Chatham-01","52",2016,1,7,2793,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.25062656641604
"Chatham-01","52",2019,1,11,2793,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.393841747225206
"Chatham-01","52",2021,1,8,2793,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.286430361618332
"Chatham-01","71",2001,1,44,2793,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",1.57536698890082
"Chatham-01","71",2004,1,108,2793,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",3.86680988184748
"Chatham-01","71",2006,1,86,2793,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",3.07912638739706
"Chatham-01","71",2008,1,46,2793,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",1.64697457930541
"Chatham-01","71",2011,1,40,2793,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",1.43215180809166
"Chatham-01","71",2013,1,40,2793,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",1.43215180809166
"Chatham-01","71",2016,1,44,2793,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",1.57536698890082
"Chatham-01","71",2019,1,37,2793,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",1.32474042248478
"Chatham-01","71",2021,1,37,2793,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",1.32474042248478
"Chatham-01","81",2001,1,193,2793,"planted","pasture","Pasture/Hay","#DBD83D",6.91013247404225
"Chatham-01","81",2004,1,193,2793,"planted","pasture","Pasture/Hay","#DBD83D",6.91013247404225
"Chatham-01","81",2006,1,150,2793,"planted","pasture","Pasture/Hay","#DBD83D",5.37056928034372
"Chatham-01","81",2008,1,130,2793,"planted","pasture","Pasture/Hay","#DBD83D",4.65449337629789
"Chatham-01","81",2011,1,130,2793,"planted","pasture","Pasture/Hay","#DBD83D",4.65449337629789
"Chatham-01","81",2013,1,130,2793,"planted","pasture","Pasture/Hay","#DBD83D",4.65449337629789
"Chatham-01","81",2016,1,127,2793,"planted","pasture","Pasture/Hay","#DBD83D",4.54708199069101
"Chatham-01","81",2019,1,107,2793,"planted","pasture","Pasture/Hay","#DBD83D",3.83100608664518
"Chatham-01","81",2021,1,107,2793,"planted","pasture","Pasture/Hay","#DBD83D",3.83100608664518
"Chatham-01","82",2001,1,52,2793,"planted","cultivated crops","Cultivated Crops","#AA7028",1.86179735051916
"Chatham-01","82",2004,1,52,2793,"planted","cultivated crops","Cultivated Crops","#AA7028",1.86179735051916
"Chatham-01","82",2006,1,101,2793,"planted","cultivated crops","Cultivated Crops","#AA7028",3.61618331543144
"Chatham-01","82",2008,1,114,2793,"planted","cultivated crops","Cultivated Crops","#AA7028",4.08163265306122
"Chatham-01","82",2011,1,114,2793,"planted","cultivated crops","Cultivated Crops","#AA7028",4.08163265306122
"Chatham-01","82",2013,1,114,2793,"planted","cultivated crops","Cultivated Crops","#AA7028",4.08163265306122
"Chatham-01","82",2016,1,114,2793,"planted","cultivated crops","Cultivated Crops","#AA7028",4.08163265306122
"Chatham-01","82",2019,1,121,2793,"planted","cultivated crops","Cultivated Crops","#AA7028",4.33225921947726
"Chatham-01","82",2021,1,121,2793,"planted","cultivated crops","Cultivated Crops","#AA7028",4.33225921947726
"Chatham-01","90",2001,1,0,2793,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0
"Chatham-01","90",2004,1,0,2793,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0
"Chatham-01","90",2006,1,0,2793,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0
"Chatham-01","90",2008,1,0,2793,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0
"Chatham-01","90",2011,1,0,2793,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0
"Chatham-01","90",2013,1,0,2793,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0
"Chatham-01","90",2016,1,0,2793,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0
"Chatham-01","90",2019,1,4,2793,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.143215180809166
"Chatham-01","90",2021,1,4,2793,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.143215180809166
"Chatham-01","95",2001,1,0,2793,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0
"Chatham-01","95",2004,1,0,2793,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0
"Chatham-01","95",2006,1,0,2793,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0
"Chatham-01","95",2008,1,0,2793,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0
"Chatham-01","95",2011,1,0,2793,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0
"Chatham-01","95",2013,1,0,2793,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0
"Chatham-01","95",2016,1,0,2793,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0
"Chatham-01","95",2019,1,0,2793,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0
"Chatham-01","95",2021,1,0,2793,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0
"Chatham-01","11",2001,2,14,2785,"water","water","Open Water","#476BA0",0.502692998204668
"Chatham-01","11",2004,2,14,2785,"water","water","Open Water","#476BA0",0.502692998204668
"Chatham-01","11",2006,2,15,2785,"water","water","Open Water","#476BA0",0.538599640933573
"Chatham-01","11",2008,2,13,2785,"water","water","Open Water","#476BA0",0.466786355475763
"Chatham-01","11",2011,2,13,2785,"water","water","Open Water","#476BA0",0.466786355475763
"Chatham-01","11",2013,2,14,2785,"water","water","Open Water","#476BA0",0.502692998204668
"Chatham-01","11",2016,2,14,2785,"water","water","Open Water","#476BA0",0.502692998204668
"Chatham-01","11",2019,2,14,2785,"water","water","Open Water","#476BA0",0.502692998204668
"Chatham-01","11",2021,2,13,2785,"water","water","Open Water","#476BA0",0.466786355475763
"Chatham-01","21",2001,2,314,2785,"developed","developed","Developed, Open Space","#DDC9C9",11.2746858168761
"Chatham-01","21",2004,2,314,2785,"developed","developed","Developed, Open Space","#DDC9C9",11.2746858168761
"Chatham-01","21",2006,2,314,2785,"developed","developed","Developed, Open Space","#DDC9C9",11.2746858168761
"Chatham-01","21",2008,2,314,2785,"developed","developed","Developed, Open Space","#DDC9C9",11.2746858168761
"Chatham-01","21",2011,2,314,2785,"developed","developed","Developed, Open Space","#DDC9C9",11.2746858168761
"Chatham-01","21",2013,2,314,2785,"developed","developed","Developed, Open Space","#DDC9C9",11.2746858168761
"Chatham-01","21",2016,2,314,2785,"developed","developed","Developed, Open Space","#DDC9C9",11.2746858168761
"Chatham-01","21",2019,2,343,2785,"developed","developed","Developed, Open Space","#DDC9C9",12.3159784560144
"Chatham-01","21",2021,2,343,2785,"developed","developed","Developed, Open Space","#DDC9C9",12.3159784560144
"Chatham-01","22",2001,2,18,2785,"developed","developed","Developed, Low Intensity","#D89382",0.646319569120287
"Chatham-01","22",2004,2,18,2785,"developed","developed","Developed, Low Intensity","#D89382",0.646319569120287
"Chatham-01","22",2006,2,19,2785,"developed","developed","Developed, Low Intensity","#D89382",0.682226211849192
"Chatham-01","22",2008,2,19,2785,"developed","developed","Developed, Low Intensity","#D89382",0.682226211849192
"Chatham-01","22",2011,2,19,2785,"developed","developed","Developed, Low Intensity","#D89382",0.682226211849192
"Chatham-01","22",2013,2,19,2785,"developed","developed","Developed, Low Intensity","#D89382",0.682226211849192
"Chatham-01","22",2016,2,19,2785,"developed","developed","Developed, Low Intensity","#D89382",0.682226211849192
"Chatham-01","22",2019,2,33,2785,"developed","developed","Developed, Low Intensity","#D89382",1.18491921005386
"Chatham-01","22",2021,2,32,2785,"developed","developed","Developed, Low Intensity","#D89382",1.14901256732496
"Chatham-01","23",2001,2,4,2785,"developed","developed","Developed, Medium Intensity","#ED0000",0.143626570915619
"Chatham-01","23",2004,2,4,2785,"developed","developed","Developed, Medium Intensity","#ED0000",0.143626570915619
"Chatham-01","23",2006,2,4,2785,"developed","developed","Developed, Medium Intensity","#ED0000",0.143626570915619
"Chatham-01","23",2008,2,4,2785,"developed","developed","Developed, Medium Intensity","#ED0000",0.143626570915619
"Chatham-01","23",2011,2,4,2785,"developed","developed","Developed, Medium Intensity","#ED0000",0.143626570915619
"Chatham-01","23",2013,2,4,2785,"developed","developed","Developed, Medium Intensity","#ED0000",0.143626570915619
"Chatham-01","23",2016,2,4,2785,"developed","developed","Developed, Medium Intensity","#ED0000",0.143626570915619
"Chatham-01","23",2019,2,26,2785,"developed","developed","Developed, Medium Intensity","#ED0000",0.933572710951526
"Chatham-01","23",2021,2,27,2785,"developed","developed","Developed, Medium Intensity","#ED0000",0.969479353680431
"Chatham-01","24",2001,2,0,2785,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","24",2004,2,0,2785,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","24",2006,2,0,2785,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","24",2008,2,0,2785,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","24",2011,2,0,2785,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","24",2013,2,0,2785,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","24",2016,2,0,2785,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","24",2019,2,0,2785,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","24",2021,2,0,2785,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","31",2001,2,3,2785,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.107719928186715
"Chatham-01","31",2004,2,3,2785,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.107719928186715
"Chatham-01","31",2006,2,2,2785,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.0718132854578097
"Chatham-01","31",2008,2,2,2785,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.0718132854578097
"Chatham-01","31",2011,2,2,2785,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.0718132854578097
"Chatham-01","31",2013,2,2,2785,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.0718132854578097
"Chatham-01","31",2016,2,2,2785,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.0718132854578097
"Chatham-01","31",2019,2,1,2785,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.0359066427289048
"Chatham-01","31",2021,2,1,2785,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.0359066427289048
"Chatham-01","41",2001,2,1110,2785,"forest","deciduous forest","Deciduous Forest","#68AA63",39.8563734290844
"Chatham-01","41",2004,2,1106,2785,"forest","deciduous forest","Deciduous Forest","#68AA63",39.7127468581688
"Chatham-01","41",2006,2,1106,2785,"forest","deciduous forest","Deciduous Forest","#68AA63",39.7127468581688
"Chatham-01","41",2008,2,1107,2785,"forest","deciduous forest","Deciduous Forest","#68AA63",39.7486535008977
"Chatham-01","41",2011,2,1107,2785,"forest","deciduous forest","Deciduous Forest","#68AA63",39.7486535008977
"Chatham-01","41",2013,2,1109,2785,"forest","deciduous forest","Deciduous Forest","#68AA63",39.8204667863555
"Chatham-01","41",2016,2,1093,2785,"forest","deciduous forest","Deciduous Forest","#68AA63",39.245960502693
"Chatham-01","41",2019,2,1058,2785,"forest","deciduous forest","Deciduous Forest","#68AA63",37.9892280071813
"Chatham-01","41",2021,2,1058,2785,"forest","deciduous forest","Deciduous Forest","#68AA63",37.9892280071813
"Chatham-01","42",2001,2,497,2785,"forest","evergreen forest","Evergreen Forest","#1C6330",17.8456014362657
"Chatham-01","42",2004,2,487,2785,"forest","evergreen forest","Evergreen Forest","#1C6330",17.4865350089767
"Chatham-01","42",2006,2,486,2785,"forest","evergreen forest","Evergreen Forest","#1C6330",17.4506283662478
"Chatham-01","42",2008,2,500,2785,"forest","evergreen forest","Evergreen Forest","#1C6330",17.9533213644524
"Chatham-01","42",2011,2,500,2785,"forest","evergreen forest","Evergreen Forest","#1C6330",17.9533213644524
"Chatham-01","42",2013,2,497,2785,"forest","evergreen forest","Evergreen Forest","#1C6330",17.8456014362657
"Chatham-01","42",2016,2,491,2785,"forest","evergreen forest","Evergreen Forest","#1C6330",17.6301615798923
"Chatham-01","42",2019,2,469,2785,"forest","evergreen forest","Evergreen Forest","#1C6330",16.8402154398564
"Chatham-01","42",2021,2,494,2785,"forest","evergreen forest","Evergreen Forest","#1C6330",17.737881508079
"Chatham-01","43",2001,2,707,2785,"forest","mixed forest","Mixed Forest","#B5C98E",25.3859964093357
"Chatham-01","43",2004,2,715,2785,"forest","mixed forest","Mixed Forest","#B5C98E",25.673249551167
"Chatham-01","43",2006,2,715,2785,"forest","mixed forest","Mixed Forest","#B5C98E",25.673249551167
"Chatham-01","43",2008,2,715,2785,"forest","mixed forest","Mixed Forest","#B5C98E",25.673249551167
"Chatham-01","43",2011,2,715,2785,"forest","mixed forest","Mixed Forest","#B5C98E",25.673249551167
"Chatham-01","43",2013,2,716,2785,"forest","mixed forest","Mixed Forest","#B5C98E",25.7091561938959
"Chatham-01","43",2016,2,718,2785,"forest","mixed forest","Mixed Forest","#B5C98E",25.7809694793537
"Chatham-01","43",2019,2,707,2785,"forest","mixed forest","Mixed Forest","#B5C98E",25.3859964093357
"Chatham-01","43",2021,2,713,2785,"forest","mixed forest","Mixed Forest","#B5C98E",25.6014362657092
"Chatham-01","52",2001,2,10,2785,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.359066427289048
"Chatham-01","52",2004,2,0,2785,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0
"Chatham-01","52",2006,2,13,2785,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.466786355475763
"Chatham-01","52",2008,2,0,2785,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0
"Chatham-01","52",2011,2,3,2785,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.107719928186715
"Chatham-01","52",2013,2,2,2785,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.0718132854578097
"Chatham-01","52",2016,2,24,2785,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.861759425493716
"Chatham-01","52",2019,2,32,2785,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",1.14901256732496
"Chatham-01","52",2021,2,1,2785,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.0359066427289048
"Chatham-01","71",2001,2,17,2785,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",0.610412926391382
"Chatham-01","71",2004,2,35,2785,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",1.25673249551167
"Chatham-01","71",2006,2,22,2785,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",0.789946140035907
"Chatham-01","71",2008,2,22,2785,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",0.789946140035907
"Chatham-01","71",2011,2,19,2785,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",0.682226211849192
"Chatham-01","71",2013,2,18,2785,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",0.646319569120287
"Chatham-01","71",2016,2,17,2785,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",0.610412926391382
"Chatham-01","71",2019,2,22,2785,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",0.789946140035907
"Chatham-01","71",2021,2,22,2785,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",0.789946140035907
"Chatham-01","81",2001,2,77,2785,"planted","pasture","Pasture/Hay","#DBD83D",2.76481149012567
"Chatham-01","81",2004,2,77,2785,"planted","pasture","Pasture/Hay","#DBD83D",2.76481149012567
"Chatham-01","81",2006,2,77,2785,"planted","pasture","Pasture/Hay","#DBD83D",2.76481149012567
"Chatham-01","81",2008,2,77,2785,"planted","pasture","Pasture/Hay","#DBD83D",2.76481149012567
"Chatham-01","81",2011,2,77,2785,"planted","pasture","Pasture/Hay","#DBD83D",2.76481149012567
"Chatham-01","81",2013,2,77,2785,"planted","pasture","Pasture/Hay","#DBD83D",2.76481149012567
"Chatham-01","81",2016,2,77,2785,"planted","pasture","Pasture/Hay","#DBD83D",2.76481149012567
"Chatham-01","81",2019,2,60,2785,"planted","pasture","Pasture/Hay","#DBD83D",2.15439856373429
"Chatham-01","81",2021,2,60,2785,"planted","pasture","Pasture/Hay","#DBD83D",2.15439856373429
"Chatham-01","82",2001,2,0,2785,"planted","cultivated crops","Cultivated Crops","#AA7028",0
"Chatham-01","82",2004,2,0,2785,"planted","cultivated crops","Cultivated Crops","#AA7028",0
"Chatham-01","82",2006,2,0,2785,"planted","cultivated crops","Cultivated Crops","#AA7028",0
"Chatham-01","82",2008,2,0,2785,"planted","cultivated crops","Cultivated Crops","#AA7028",0
"Chatham-01","82",2011,2,0,2785,"planted","cultivated crops","Cultivated Crops","#AA7028",0
"Chatham-01","82",2013,2,0,2785,"planted","cultivated crops","Cultivated Crops","#AA7028",0
"Chatham-01","82",2016,2,0,2785,"planted","cultivated crops","Cultivated Crops","#AA7028",0
"Chatham-01","82",2019,2,0,2785,"planted","cultivated crops","Cultivated Crops","#AA7028",0
"Chatham-01","82",2021,2,0,2785,"planted","cultivated crops","Cultivated Crops","#AA7028",0
"Chatham-01","90",2001,2,11,2785,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.394973070017953
"Chatham-01","90",2004,2,11,2785,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.394973070017953
"Chatham-01","90",2006,2,11,2785,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.394973070017953
"Chatham-01","90",2008,2,11,2785,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.394973070017953
"Chatham-01","90",2011,2,11,2785,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.394973070017953
"Chatham-01","90",2013,2,11,2785,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.394973070017953
"Chatham-01","90",2016,2,11,2785,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.394973070017953
"Chatham-01","90",2019,2,18,2785,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.646319569120287
"Chatham-01","90",2021,2,18,2785,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.646319569120287
