"County_Route","nlcd","year","frequency","totpix","class","ijbg_class","description","color","percent"
"Chatham-01","22",2011,202,11169,"developed","developed","Developed, Low Intensity","#D89382",1.80857731220342
"Chatham-01","22",2013,202,11169,"developed","developed","Developed, Low Intensity","#D89382",1.80857731220342
"Chatham-01","22",2016,203,11169,"developed","developed","Developed, Low Intensity","#D89382",1.81753066523413
"Chatham-01","22",2019,318,11169,"developed","developed","Developed, Low Intensity","#D89382",2.84716626376578
"Chatham-01","22",2021,360,11169,"developed","developed","Developed, Low Intensity","#D89382",3.2232070910556
"Chatham-01","23",2001,43,11169,"developed","developed","Developed, Medium Intensity","#ED0000",0.38499418032053
"Chatham-01","23",2004,43,11169,"developed","developed","Developed, Medium Intensity","#ED0000",0.38499418032053
"Chatham-01","23",2006,46,11169,"developed","developed","Developed, Medium Intensity","#ED0000",0.41185423941266
"Chatham-01","23",2008,46,11169,"developed","developed","Developed, Medium Intensity","#ED0000",0.41185423941266
"Chatham-01","23",2011,47,11169,"developed","developed","Developed, Medium Intensity","#ED0000",0.42080759244337
"Chatham-01","23",2013,47,11169,"developed","developed","Developed, Medium Intensity","#ED0000",0.42080759244337
"Chatham-01","23",2016,47,11169,"developed","developed","Developed, Medium Intensity","#ED0000",0.42080759244337
"Chatham-01","23",2019,129,11169,"developed","developed","Developed, Medium Intensity","#ED0000",1.15498254096159
"Chatham-01","23",2021,135,11169,"developed","developed","Developed, Medium Intensity","#ED0000",1.20870265914585
"Chatham-01","24",2001,1,11169,"developed","developed","Developed, High Intensity","#AA0000",0.00895335303071
"Chatham-01","24",2004,1,11169,"developed","developed","Developed, High Intensity","#AA0000",0.00895335303071
"Chatham-01","24",2006,1,11169,"developed","developed","Developed, High Intensity","#AA0000",0.00895335303071
"Chatham-01","24",2008,1,11169,"developed","developed","Developed, High Intensity","#AA0000",0.00895335303071
"Chatham-01","24",2011,1,11169,"developed","developed","Developed, High Intensity","#AA0000",0.00895335303071
"Chatham-01","24",2013,1,11169,"developed","developed","Developed, High Intensity","#AA0000",0.00895335303071
"Chatham-01","24",2016,1,11169,"developed","developed","Developed, High Intensity","#AA0000",0.00895335303071
"Chatham-01","24",2019,4,11169,"developed","developed","Developed, High Intensity","#AA0000",0.03581341212284
"Chatham-01","24",2021,4,11169,"developed","developed","Developed, High Intensity","#AA0000",0.03581341212284
"Chatham-01","31",2001,10,11169,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.0895335303071
"Chatham-01","31",2004,5,11169,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.04476676515355
"Chatham-01","31",2006,3,11169,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.02686005909213
"Chatham-01","31",2008,4,11169,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.03581341212284
"Chatham-01","31",2011,3,11169,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.02686005909213
"Chatham-01","31",2013,5,11169,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.04476676515355
"Chatham-01","31",2016,7,11169,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.06267347121497
"Chatham-01","31",2019,4,11169,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.03581341212284
"Chatham-01","31",2021,4,11169,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.03581341212284
"Chatham-01","41",2001,3656,11169,"forest","deciduous forest","Deciduous Forest","#68AA63",32.7334586802758
"Chatham-01","41",2004,3626,11169,"forest","deciduous forest","Deciduous Forest","#68AA63",32.4648580893545
"Chatham-01","41",2006,3608,11169,"forest","deciduous forest","Deciduous Forest","#68AA63",32.3036977348017
"Chatham-01","41",2008,3489,11169,"forest","deciduous forest","Deciduous Forest","#68AA63",31.2382487241472
"Chatham-01","41",2011,3401,11169,"forest","deciduous forest","Deciduous Forest","#68AA63",30.4503536574447
"Chatham-01","41",2013,3414,11169,"forest","deciduous forest","Deciduous Forest","#68AA63",30.5667472468439
"Chatham-01","41",2016,3487,11169,"forest","deciduous forest","Deciduous Forest","#68AA63",31.2203420180858
"Chatham-01","41",2019,3399,11169,"forest","deciduous forest","Deciduous Forest","#68AA63",30.4324469513833
"Chatham-01","41",2021,3356,11169,"forest","deciduous forest","Deciduous Forest","#68AA63",30.0474527710628
"Chatham-01","42",2001,2104,11169,"forest","evergreen forest","Evergreen Forest","#1C6330",18.8378547766138
"Chatham-01","42",2004,2158,11169,"forest","evergreen forest","Evergreen Forest","#1C6330",19.3213358402722
"Chatham-01","42",2006,2154,11169,"forest","evergreen forest","Evergreen Forest","#1C6330",19.2855224281493
"Chatham-01","42",2008,2150,11169,"forest","evergreen forest","Evergreen Forest","#1C6330",19.2497090160265
"Chatham-01","42",2011,2197,11169,"forest","evergreen forest","Evergreen Forest","#1C6330",19.6705166084699
"Chatham-01","42",2013,2188,11169,"forest","evergreen forest","Evergreen Forest","#1C6330",19.5899364311935
"Chatham-01","42",2016,2203,11169,"forest","evergreen forest","Evergreen Forest","#1C6330",19.7242367266541
"Chatham-01","42",2019,2111,11169,"forest","evergreen forest","Evergreen Forest","#1C6330",18.9005282478288
"Chatham-01","42",2021,2097,11169,"forest","evergreen forest","Evergreen Forest","#1C6330",18.7751813053989
"Chatham-01","43",2001,2544,11169,"forest","mixed forest","Mixed Forest","#B5C98E",22.7773301101262
"Chatham-01","43",2004,2545,11169,"forest","mixed forest","Mixed Forest","#B5C98E",22.786283463157
"Chatham-01","43",2006,2546,11169,"forest","mixed forest","Mixed Forest","#B5C98E",22.7952368161877
"Chatham-01","43",2008,2547,11169,"forest","mixed forest","Mixed Forest","#B5C98E",22.8041901692184
"Chatham-01","43",2011,2539,11169,"forest","mixed forest","Mixed Forest","#B5C98E",22.7325633449727
"Chatham-01","43",2013,2548,11169,"forest","mixed forest","Mixed Forest","#B5C98E",22.8131435222491
"Chatham-01","43",2016,2577,11169,"forest","mixed forest","Mixed Forest","#B5C98E",23.0727907601397
"Chatham-01","43",2019,2485,11169,"forest","mixed forest","Mixed Forest","#B5C98E",22.2490822813144
"Chatham-01","43",2021,2473,11169,"forest","mixed forest","Mixed Forest","#B5C98E",22.1416420449458
"Chatham-01","52",2001,153,11169,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",1.36986301369863
"Chatham-01","52",2004,33,11169,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.29546065001343
"Chatham-01","52",2006,47,11169,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.42080759244337
"Chatham-01","52",2008,103,11169,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.92219536216313
"Chatham-01","52",2011,44,11169,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.39394753335124
"Chatham-01","52",2013,298,11169,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",2.66809920315158
"Chatham-01","52",2016,182,11169,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",1.62951025158922
"Chatham-01","52",2019,77,11169,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.68940818336467
"Chatham-01","52",2021,39,11169,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.34918076819769
"Chatham-01","71",2001,91,11169,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",0.81475512579461
"Chatham-01","71",2004,204,11169,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",1.82648401826484
"Chatham-01","71",2006,172,11169,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",1.53997672128212
"Chatham-01","71",2008,252,11169,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",2.25624496373892
"Chatham-01","71",2011,360,11169,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",3.2232070910556
"Chatham-01","71",2013,91,11169,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",0.81475512579461
"Chatham-01","71",2016,90,11169,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",0.8058017727639
"Chatham-01","71",2019,102,11169,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",0.91324200913242
"Chatham-01","71",2021,151,11169,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",1.35195630763721
"Chatham-01","81",2001,774,11169,"planted","pasture","Pasture/Hay","#DBD83D",6.92989524576954
"Chatham-01","81",2004,749,11169,"planted","pasture","Pasture/Hay","#DBD83D",6.70606142000179
"Chatham-01","81",2006,713,11169,"planted","pasture","Pasture/Hay","#DBD83D",6.38374071089623
"Chatham-01","81",2008,688,11169,"planted","pasture","Pasture/Hay","#DBD83D",6.15990688512848
"Chatham-01","81",2011,676,11169,"planted","pasture","Pasture/Hay","#DBD83D",6.05246664875996
"Chatham-01","81",2013,676,11169,"planted","pasture","Pasture/Hay","#DBD83D",6.05246664875996
"Chatham-01","81",2016,669,11169,"planted","pasture","Pasture/Hay","#DBD83D",5.98979317754499
"Chatham-01","81",2019,569,11169,"planted","pasture","Pasture/Hay","#DBD83D",5.09445787447399
"Chatham-01","81",2021,569,11169,"planted","pasture","Pasture/Hay","#DBD83D",5.09445787447399
"Chatham-01","82",2001,116,11169,"planted","cultivated crops","Cultivated Crops","#AA7028",1.03858895156236
"Chatham-01","82",2004,116,11169,"planted","cultivated crops","Cultivated Crops","#AA7028",1.03858895156236
"Chatham-01","82",2006,165,11169,"planted","cultivated crops","Cultivated Crops","#AA7028",1.47730325006715
"Chatham-01","82",2008,178,11169,"planted","cultivated crops","Cultivated Crops","#AA7028",1.59369683946638
"Chatham-01","82",2011,178,11169,"planted","cultivated crops","Cultivated Crops","#AA7028",1.59369683946638
"Chatham-01","82",2013,178,11169,"planted","cultivated crops","Cultivated Crops","#AA7028",1.59369683946638
"Chatham-01","82",2016,178,11169,"planted","cultivated crops","Cultivated Crops","#AA7028",1.59369683946638
"Chatham-01","82",2019,185,11169,"planted","cultivated crops","Cultivated Crops","#AA7028",1.65637031068135
"Chatham-01","82",2021,185,11169,"planted","cultivated crops","Cultivated Crops","#AA7028",1.65637031068135
"Chatham-01","90",2001,11,11169,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.09848688333781
"Chatham-01","90",2004,11,11169,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.09848688333781
"Chatham-01","90",2006,11,11169,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.09848688333781
"Chatham-01","90",2008,11,11169,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.09848688333781
"Chatham-01","90",2011,11,11169,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.09848688333781
"Chatham-01","90",2013,11,11169,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.09848688333781
"Chatham-01","90",2016,11,11169,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.09848688333781
"Chatham-01","90",2019,22,11169,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.19697376667562
"Chatham-01","90",2021,22,11169,"wetlands","wetlands","Woody Wetlands","#BAD8EA",0.19697376667562
"Chatham-01","95",2001,3,11169,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0.02686005909213
"Chatham-01","95",2004,1,11169,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0.00895335303071
"Chatham-01","95",2006,1,11169,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0.00895335303071
"Chatham-01","95",2008,1,11169,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0.00895335303071
"Chatham-01","95",2011,1,11169,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0.00895335303071
"Chatham-01","95",2013,2,11169,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0.01790670606142
"Chatham-01","95",2016,1,11169,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0.00895335303071
"Chatham-01","95",2019,2,11169,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0.01790670606142
"Chatham-01","95",2021,3,11169,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0.02686005909213
"Chatham-02","11",2001,187,11161,"water","water","Open Water","#476BA0",1.67547710778604
"Chatham-02","11",2004,212,11161,"water","water","Open Water","#476BA0",1.89947137353284
"Chatham-02","11",2006,189,11161,"water","water","Open Water","#476BA0",1.69339664904578
"Chatham-02","11",2008,202,11161,"water","water","Open Water","#476BA0",1.80987366723412
"Chatham-02","11",2011,187,11161,"water","water","Open Water","#476BA0",1.67547710778604
"Chatham-02","11",2013,176,11161,"water","water","Open Water","#476BA0",1.57691963085745
"Chatham-02","11",2016,250,11161,"water","water","Open Water","#476BA0",2.23994265746797
"Chatham-02","11",2019,193,11161,"water","water","Open Water","#476BA0",1.72923573156527
"Chatham-02","11",2021,185,11161,"water","water","Open Water","#476BA0",1.6575575665263
"Chatham-02","21",2001,1352,11161,"developed","developed","Developed, Open Space","#DDC9C9",12.1136098915868
"Chatham-02","21",2004,1352,11161,"developed","developed","Developed, Open Space","#DDC9C9",12.1136098915868
"Chatham-02","21",2006,1373,11161,"developed","developed","Developed, Open Space","#DDC9C9",12.3017650748141
"Chatham-02","21",2008,1373,11161,"developed","developed","Developed, Open Space","#DDC9C9",12.3017650748141
"Chatham-02","21",2011,1428,11161,"developed","developed","Developed, Open Space","#DDC9C9",12.794552459457
"Chatham-02","21",2013,1428,11161,"developed","developed","Developed, Open Space","#DDC9C9",12.794552459457
"Chatham-02","21",2016,1424,11161,"developed","developed","Developed, Open Space","#DDC9C9",12.7587133769375
"Chatham-02","21",2019,1343,11161,"developed","developed","Developed, Open Space","#DDC9C9",12.0329719559179
"Chatham-02","21",2021,1340,11161,"developed","developed","Developed, Open Space","#DDC9C9",12.0060926440283
"Chatham-02","22",2001,373,11161,"developed","developed","Developed, Low Intensity","#D89382",3.34199444494221
"Chatham-02","22",2004,373,11161,"developed","developed","Developed, Low Intensity","#D89382",3.34199444494221
"Chatham-02","22",2006,411,11161,"developed","developed","Developed, Low Intensity","#D89382",3.68246572887734
"Chatham-02","22",2008,411,11161,"developed","developed","Developed, Low Intensity","#D89382",3.68246572887734
"Chatham-02","22",2011,509,11161,"developed","developed","Developed, Low Intensity","#D89382",4.56052325060478
"Chatham-02","22",2013,509,11161,"developed","developed","Developed, Low Intensity","#D89382",4.56052325060478
"Chatham-02","22",2016,513,11161,"developed","developed","Developed, Low Intensity","#D89382",4.59636233312427
"Chatham-02","22",2019,606,11161,"developed","developed","Developed, Low Intensity","#D89382",5.42962100170236
"Chatham-02","22",2021,607,11161,"developed","developed","Developed, Low Intensity","#D89382",5.43858077233223
"Chatham-02","23",2001,72,11161,"developed","developed","Developed, Medium Intensity","#ED0000",0.645103485350775
"Chatham-02","23",2004,72,11161,"developed","developed","Developed, Medium Intensity","#ED0000",0.645103485350775
"Chatham-02","23",2006,96,11161,"developed","developed","Developed, Medium Intensity","#ED0000",0.8601379804677
"Chatham-02","23",2008,96,11161,"developed","developed","Developed, Medium Intensity","#ED0000",0.8601379804677
"Chatham-02","23",2011,185,11161,"developed","developed","Developed, Medium Intensity","#ED0000",1.6575575665263
"Chatham-02","23",2013,185,11161,"developed","developed","Developed, Medium Intensity","#ED0000",1.6575575665263
"Chatham-02","23",2016,190,11161,"developed","developed","Developed, Medium Intensity","#ED0000",1.70235641967566
"Chatham-02","23",2019,394,11161,"developed","developed","Developed, Medium Intensity","#ED0000",3.53014962816952
"Chatham-02","23",2021,396,11161,"developed","developed","Developed, Medium Intensity","#ED0000",3.54806916942926
"Chatham-02","24",2001,3,11161,"developed","developed","Developed, High Intensity","#AA0000",0.0268793118896156
"Chatham-02","24",2004,3,11161,"developed","developed","Developed, High Intensity","#AA0000",0.0268793118896156
"Chatham-02","24",2006,3,11161,"developed","developed","Developed, High Intensity","#AA0000",0.0268793118896156
"Chatham-02","24",2008,3,11161,"developed","developed","Developed, High Intensity","#AA0000",0.0268793118896156
"Chatham-02","24",2011,18,11161,"developed","developed","Developed, High Intensity","#AA0000",0.161275871337694
"Chatham-02","24",2013,18,11161,"developed","developed","Developed, High Intensity","#AA0000",0.161275871337694
"Chatham-02","24",2016,25,11161,"developed","developed","Developed, High Intensity","#AA0000",0.223994265746797
"Chatham-02","24",2019,41,11161,"developed","developed","Developed, High Intensity","#AA0000",0.367350595824747
"Chatham-02","24",2021,41,11161,"developed","developed","Developed, High Intensity","#AA0000",0.367350595824747
"Chatham-02","31",2001,7,11161,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.0627183944091031
"Chatham-02","31",2004,6,11161,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.0537586237792312
"Chatham-02","31",2006,6,11161,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.0537586237792312
"Chatham-02","31",2008,6,11161,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.0537586237792312
"Chatham-02","31",2011,7,11161,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.0627183944091031
"Chatham-02","31",2013,7,11161,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.0627183944091031
"Chatham-02","31",2016,6,11161,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.0537586237792312
"Chatham-02","31",2019,29,11161,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.259833348266284
"Chatham-02","31",2021,29,11161,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.259833348266284
"Chatham-02","41",2001,2399,11161,"forest","deciduous forest","Deciduous Forest","#68AA63",21.4944897410626
"Chatham-02","41",2004,2400,11161,"forest","deciduous forest","Deciduous Forest","#68AA63",21.5034495116925
"Chatham-02","41",2006,2351,11161,"forest","deciduous forest","Deciduous Forest","#68AA63",21.0644207508288
"Chatham-02","41",2008,2343,11161,"forest","deciduous forest","Deciduous Forest","#68AA63",20.9927425857898
"Chatham-02","41",2011,2231,11161,"forest","deciduous forest","Deciduous Forest","#68AA63",19.9892482752442
"Chatham-02","41",2013,2247,11161,"forest","deciduous forest","Deciduous Forest","#68AA63",20.1326046053221
"Chatham-02","41",2016,2140,11161,"forest","deciduous forest","Deciduous Forest","#68AA63",19.1739091479258
"Chatham-02","41",2019,2025,11161,"forest","deciduous forest","Deciduous Forest","#68AA63",18.1435355254905
"Chatham-02","41",2021,2025,11161,"forest","deciduous forest","Deciduous Forest","#68AA63",18.1435355254905
"Chatham-02","42",2001,2754,11161,"forest","evergreen forest","Evergreen Forest","#1C6330",24.6752083146671
"Chatham-02","42",2004,2753,11161,"forest","evergreen forest","Evergreen Forest","#1C6330",24.6662485440373
"Chatham-02","42",2006,2769,11161,"forest","evergreen forest","Evergreen Forest","#1C6330",24.8096048741152
"Chatham-02","42",2008,2806,11161,"forest","evergreen forest","Evergreen Forest","#1C6330",25.1411163874205
"Chatham-02","42",2011,2762,11161,"forest","evergreen forest","Evergreen Forest","#1C6330",24.7468864797061
"Chatham-02","42",2013,2757,11161,"forest","evergreen forest","Evergreen Forest","#1C6330",24.7020876265568
"Chatham-02","42",2016,2658,11161,"forest","evergreen forest","Evergreen Forest","#1C6330",23.8150703341994
"Chatham-02","42",2019,2564,11161,"forest","evergreen forest","Evergreen Forest","#1C6330",22.9728518949915
"Chatham-02","42",2021,2731,11161,"forest","evergreen forest","Evergreen Forest","#1C6330",24.4691335901801
"Chatham-02","43",2001,1808,11161,"forest","mixed forest","Mixed Forest","#B5C98E",16.1992652988084
"Chatham-02","43",2004,1815,11161,"forest","mixed forest","Mixed Forest","#B5C98E",16.2619836932175
"Chatham-02","43",2006,1820,11161,"forest","mixed forest","Mixed Forest","#B5C98E",16.3067825463668
"Chatham-02","43",2008,1827,11161,"forest","mixed forest","Mixed Forest","#B5C98E",16.3695009407759
"Chatham-02","43",2011,1810,11161,"forest","mixed forest","Mixed Forest","#B5C98E",16.2171848400681
"Chatham-02","43",2013,1810,11161,"forest","mixed forest","Mixed Forest","#B5C98E",16.2171848400681
"Chatham-02","43",2016,1783,11161,"forest","mixed forest","Mixed Forest","#B5C98E",15.9752710330616
"Chatham-02","43",2019,1722,11161,"forest","mixed forest","Mixed Forest","#B5C98E",15.4287250246394
"Chatham-02","43",2021,1710,11161,"forest","mixed forest","Mixed Forest","#B5C98E",15.3212077770809
"Chatham-02","52",2001,93,11161,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.833258668578085
"Chatham-02","52",2004,53,11161,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.474867843383209
"Chatham-02","52",2006,65,11161,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.582385090941672
"Chatham-02","52",2008,62,11161,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.555505779052056
"Chatham-02","52",2011,21,11161,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.188155183227309
"Chatham-02","52",2013,53,11161,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.474867843383209
"Chatham-02","52",2016,74,11161,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",0.663023026610519
"Chatham-02","52",2019,257,11161,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",2.30266105187707
"Chatham-02","52",2021,179,11161,"shrubland","shrubland","Scrub/Shrub","#CCBA7C",1.60379894274707
"Chatham-02","71",2001,394,11161,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",3.53014962816952
"Chatham-02","71",2004,423,11161,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",3.7899829764358
"Chatham-02","71",2006,360,11161,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",3.22551742675388
"Chatham-02","71",2008,326,11161,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",2.92088522533823
"Chatham-02","71",2011,342,11161,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",3.06424155541618
"Chatham-02","71",2013,255,11161,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",2.28474151061733
"Chatham-02","71",2016,444,11161,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",3.97813815966311
"Chatham-02","71",2019,322,11161,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",2.88504614281874
"Chatham-02","71",2021,245,11161,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1",2.19514380431861
"Chatham-02","81",2001,629,11161,"planted","pasture","Pasture/Hay","#DBD83D",5.63569572618941
"Chatham-02","81",2004,626,11161,"planted","pasture","Pasture/Hay","#DBD83D",5.60881641429979
"Chatham-02","81",2006,624,11161,"planted","pasture","Pasture/Hay","#DBD83D",5.59089687304005
"Chatham-02","81",2008,629,11161,"planted","pasture","Pasture/Hay","#DBD83D",5.63569572618941
"Chatham-02","81",2011,570,11161,"planted","pasture","Pasture/Hay","#DBD83D",5.10706925902697
"Chatham-02","81",2013,569,11161,"planted","pasture","Pasture/Hay","#DBD83D",5.0981094883971
"Chatham-02","81",2016,573,11161,"planted","pasture","Pasture/Hay","#DBD83D",5.13394857091658
"Chatham-02","81",2019,496,11161,"planted","pasture","Pasture/Hay","#DBD83D",4.44404623241645
"Chatham-02","81",2021,496,11161,"planted","pasture","Pasture/Hay","#DBD83D",4.44404623241645
"Chatham-02","82",2001,78,11161,"planted","cultivated crops","Cultivated Crops","#AA7028",0.698862109130006
"Chatham-02","82",2004,78,11161,"planted","cultivated crops","Cultivated Crops","#AA7028",0.698862109130006
"Chatham-02","82",2006,78,11161,"planted","cultivated crops","Cultivated Crops","#AA7028",0.698862109130006
"Chatham-02","82",2008,78,11161,"planted","cultivated crops","Cultivated Crops","#AA7028",0.698862109130006
"Chatham-02","82",2011,78,11161,"planted","cultivated crops","Cultivated Crops","#AA7028",0.698862109130006
"Chatham-02","82",2013,127,11161,"planted","cultivated crops","Cultivated Crops","#AA7028",1.13789086999373
"Chatham-02","82",2016,127,11161,"planted","cultivated crops","Cultivated Crops","#AA7028",1.13789086999373
"Chatham-02","82",2019,125,11161,"planted","cultivated crops","Cultivated Crops","#AA7028",1.11997132873398
"Chatham-02","82",2021,125,11161,"planted","cultivated crops","Cultivated Crops","#AA7028",1.11997132873398
"Chatham-02","90",2001,904,11161,"wetlands","wetlands","Woody Wetlands","#BAD8EA",8.09963264940418
"Chatham-02","90",2004,897,11161,"wetlands","wetlands","Woody Wetlands","#BAD8EA",8.03691425499507
"Chatham-02","90",2006,887,11161,"wetlands","wetlands","Woody Wetlands","#BAD8EA",7.94731654869635
"Chatham-02","90",2008,915,11161,"wetlands","wetlands","Woody Wetlands","#BAD8EA",8.19819012633277
"Chatham-02","90",2011,922,11161,"wetlands","wetlands","Woody Wetlands","#BAD8EA",8.26090852074187
"Chatham-02","90",2013,954,11161,"wetlands","wetlands","Woody Wetlands","#BAD8EA",8.54762118089777
"Chatham-02","90",2016,918,11161,"wetlands","wetlands","Woody Wetlands","#BAD8EA",8.22506943822238
"Chatham-02","90",2019,949,11161,"wetlands","wetlands","Woody Wetlands","#BAD8EA",8.50282232774841
"Chatham-02","90",2021,953,11161,"wetlands","wetlands","Woody Wetlands","#BAD8EA",8.5386614102679
"Chatham-02","95",2001,108,11161,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0.967655228026163
"Chatham-02","95",2004,98,11161,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",0.878057521727444
"Chatham-02","95",2006,129,11161,"wetlands","wetlands","Emergent Herbaceous Wetlands","#70A3BA",1.15581041125347
