"County_Route_Stop","mbbs_county","route_num","stop_num","lat","lon","WKT"
"chatham-7-13","chatham",7,13,35.7211741,-79.3103521,c(1488843.54339383, 1538588.88013851)
"chatham-7-14","chatham",7,14,35.7201954,-79.3006551,c(1489718.82573395, 1538632.95577101)
"chatham-7-15","chatham",7,15,35.7210019,-79.2930304,c(1490376.19918188, 1538841.40885049)
"chatham-7-16","chatham",7,16,35.7137957,-79.2953427,c(1490313.14209077, 1538010.78495985)
"chatham-7-17","chatham",7,17,35.7132929,-79.2894732,c(1490841.2323725, 1538047.42208935)
"chatham-7-18","chatham",7,18,35.7160022,-79.2809379,c(1491541.75535972, 1538480.00056226)
"chatham-7-19","chatham",7,19,35.7125989,-79.2771865,c(1491939.66752521, 1538163.74180136)
"chatham-7-20","chatham",7,20,35.705373,-79.2773259,c(1492068.98214145, 1537365.05073639)
"chatham-8-1","chatham",8,1,35.782637,-79.207965,c(1496672.67431643, 1546972.14101291)
"chatham-8-2","chatham",8,2,35.789967,-79.210325,c(1496320.27943196, 1547742.90213107)
"chatham-8-3","chatham",8,3,35.797211,-79.211255,c(1496095.71835253, 1548526.71242169)
"chatham-8-4","chatham",8,4,35.804574,-79.211822,c(1495900.83820245, 1549329.36135445)
"chatham-8-5","chatham",8,5,35.811297,-79.216393,c(1495365.53413035, 1549998.46221746)
"chatham-8-6","chatham",8,6,35.814045,-79.225265,c(1494529.26701117, 1550161.80050737)
"chatham-8-7","chatham",8,7,35.820159,-79.230642,c(1493935.02000881, 1550751.19145109)
"chatham-8-8","chatham",8,8,35.817804,-79.240028,c(1493153.79946428, 1550344.08953337)
"chatham-8-9","chatham",8,9,35.81518,-79.248376,c(1492469.31421382, 1549923.70915461)
"chatham-8-10","chatham",8,10,35.810451,-79.251885,c(1492252.75941554, 1549347.31643558)
"chatham-8-11","chatham",8,11,35.804434,-79.252052,c(1492356.14886325, 1548681.4263864)
"chatham-8-12","chatham",8,12,35.804864,-79.261296,c(1491532.54736309, 1548583.7032618)
"chatham-8-13","chatham",8,13,35.805263,-79.270823,c(1490684.59262105, 1548478.20461626)
"chatham-8-14","chatham",8,14,35.806004,-79.281216,c(1489753.56094168, 1548396.91728913)
"chatham-8-15","chatham",8,15,35.812398,-79.286235,c(1489185.69442006, 1549023.12184776)
"chatham-8-16","chatham",8,16,35.814745,-79.288611,c(1488930.20841484, 1549244.62632002)
"chatham-8-17","chatham",8,17,35.819226,-79.293771,c(1488387.469017, 1549657.78771057)
"chatham-8-18","chatham",8,18,35.821235,-79.299888,c(1487808.79111394, 1549783.48079912)
"chatham-8-19","chatham",8,19,35.823759,-79.310191,c(1486850.98168027, 1549900.48950316)
"chatham-8-20","chatham",8,20,35.833841,-79.31898,c(1485878.92101557, 1550874.5359393)
"chatham-9-1","chatham",9,1,35.7860123,-79.0925889,c(1506780.90455694, 1549167.31833394)
"chatham-9-2","chatham",9,2,35.7781442,-79.0938702,c(1506823.81532276, 1548279.96055469)
"chatham-9-3","chatham",9,3,35.7788896,-79.0935837,c(1506834.31179743, 1548366.64403643)
"chatham-9-4","chatham",9,4,35.7757937,-79.0944682,c(1506817.64886599, 1548011.46105078)
"chatham-9-5","chatham",9,5,35.7718564,-79.0934979,c(1506981.23082129, 1547592.969711)
"chatham-9-6","chatham",9,6,35.7680265,-79.0933701,c(1507068.38616595, 1547172.95624338)
"chatham-9-7","chatham",9,7,35.7656583,-79.0920388,c(1507232.73052554, 1546933.10415924)
"chatham-9-8","chatham",9,8,35.7640913,-79.0908371,c(1507369.77371661, 1546779.48810118)
"chatham-9-9","chatham",9,9,35.7613855,-79.0894824,c(1507542.88494638, 1546502.8118268)
"chatham-9-10","chatham",9,10,35.7576877,-79.0887772,c(1507678.37317752, 1546106.52265041)
"chatham-9-11","chatham",9,11,35.7547731,-79.0866196,c(1507926.46454311, 1545819.58465994)
"chatham-9-12","chatham",9,12,35.7502655,-79.0868722,c(1507993.52663738, 1545318.86965678)
"chatham-9-13","chatham",9,13,35.7461555,-79.0869748,c(1508065.93852203, 1544864.34895913)
"chatham-9-14","chatham",9,14,35.7419758,-79.084829,c(1508338.10077296, 1544437.83275917)
"chatham-9-15","chatham",9,15,35.7339639,-79.0826832,c(1508686.25793504, 1543589.0526738)
"chatham-9-16","chatham",9,16,35.7312466,-79.0814816,c(1508846.15756187, 1543308.70899912)
"chatham-9-17","chatham",9,17,35.7347303,-79.0600239,c(1510670.36631314, 1544033.46212636)
"chatham-9-18","chatham",9,18,35.7285235,-79.0049135,c(1515656.1866415, 1544227.09058472)
"chatham-9-19","chatham",9,19,35.7266686,-79.005264,c(1515662.20278373, 1544017.13896985)
"chatham-9-20","chatham",9,20,35.7232337,-79.0060746,c(1515659.08528079, 1543625.77494492)
"chatham-10-2","chatham",10,2,35.660276,-79.102497,c(1508397.09325767, 1535154.90119017)
"chatham-10-3","chatham",10,3,35.654274,-79.106031,c(1508203.77495546, 1534437.46184131)
"chatham-10-4","chatham",10,4,35.649215,-79.113949,c(1507604.46145964, 1533754.37981704)
"chatham-10-5","chatham",10,5,35.650185,-79.120723,c(1506986.85948616, 1533753.82387214)
"chatham-10-6","chatham",10,6,35.655079,-79.126862,c(1506347.77173877, 1534195.77482479)
"chatham-10-7","chatham",10,7,35.659943,-79.133407,c(1505673.47788522, 1534628.03705735)
"chatham-10-8","chatham",10,8,35.664852,-79.138095,c(1505162.38171879, 1535094.7234229)
"chatham-10-9","chatham",10,9,35.669197,-79.139533,c(1504949.51925124, 1535550.75284767)
"chatham-10-10","chatham",10,10,35.676245,-79.142404,c(1504556.71554498, 1536281.96438002)
