"County_Route_Stop","mbbs_county","route_num","stop_num","lat","lon","WKT"
"orange-8-13","orange",8,13,36.189208,-79.0449701,c(1502966.89924436, 1594357.2219205)
"orange-8-14","orange",8,14,36.1911326,-79.0503781,c(1502454.36456835, 1594483.83880376)
"orange-8-15","orange",8,15,36.1928451,-79.0587903,c(1501682.5950066, 1594539.63356959)
"orange-8-16","orange",8,16,36.1927367,-79.0684247,c(1500839.80346081, 1594375.48844179)
"orange-8-17","orange",8,17,36.1975971,-79.0737538,c(1500275.9877649, 1594827.08520393)
"orange-8-18","orange",8,18,36.201572,-79.078144,c(1499812.12730762, 1595195.93101396)
"orange-8-19","orange",8,19,36.2009794,-79.0886956,c(1498898.56568916, 1594964.13487436)
"orange-8-20","orange",8,20,36.2032796,-79.0964527,c(1498172.71729204, 1595095.36996372)
"orange-9-1","orange",9,1,35.999474,-79.11991,c(1500148.46117125, 1572260.54522513)
"orange-9-2","orange",9,2,36.004015,-79.126702,c(1499461.393664, 1572653.87193779)
"orange-9-3","orange",9,3,36.006235,-79.134471,c(1498734.3710525, 1572776.01659027)
"orange-9-4","orange",9,4,36.005894,-79.14348,c(1497948.95105846, 1572596.38924369)
"orange-9-5","orange",9,5,36.003701,-79.152139,c(1497230.86204511, 1572218.20732216)
"orange-9-6","orange",9,6,36.003496,-79.160503,c(1496499.4167195, 1572063.86928721)
"orange-9-7","orange",9,7,36.007089,-79.16832,c(1495741.12240476, 1572336.86405301)
"orange-9-8","orange",9,8,36.013832,-79.171554,c(1495323.72840525, 1573029.26677999)
"orange-9-9","orange",9,9,36.020469,-79.174447,c(1494938.45362482, 1573715.37118933)
"orange-9-10","orange",9,10,36.026191,-79.180653,c(1494280.00918182, 1574248.53182206)
"orange-9-11","orange",9,11,36.023338,-79.18713,c(1493766.81978187, 1573832.202343)
"orange-9-12","orange",9,12,36.018097,-79.190063,c(1493612.23151601, 1573208.3509685)
"orange-9-13","orange",9,13,36.011979,-79.19461,c(1493332.96189426, 1572462.46208607)
"orange-9-14","orange",9,14,36.007153,-79.202066,c(1492772.36466833, 1571813.31307675)
"orange-9-15","orange",9,15,36.010736,-79.206306,c(1492328.96608, 1572141.7085948)
"orange-9-16","orange",9,16,36.016185,-79.20434,c(1492394.56394397, 1572773.27862992)
"orange-9-17","orange",9,17,36.025309,-79.204668,c(1492186.08716533, 1573773.96001794)
"orange-9-18","orange",9,18,36.031653,-79.209256,c(1491657.84645094, 1574401.30442263)
"orange-9-19","orange",9,19,36.038012,-79.214129,c(1491104.32107593, 1575025.86542993)
"orange-9-20","orange",9,20,36.043953,-79.217745,c(1490669.57503719, 1575624.0982871)
"orange-10-1","orange",10,1,35.9995355,-79.1070467,c(1501278.35473189, 1572470.45407767)
"orange-10-2","orange",10,2,36.0022336,-79.097689,c(1502047.73440168, 1572915.6969875)
"orange-10-3","orange",10,3,36.0057497,-79.0893531,c(1502710.98707066, 1573435.00904334)
"orange-10-4","orange",10,4,36.010228,-79.0818644,c(1503280.59614077, 1574047.02000924)
"orange-10-5","orange",10,5,36.0167974,-79.0755816,c(1503702.62500673, 1574870.45487121)
"orange-10-6","orange",10,6,36.0198797,-79.0697536,c(1504153.77565001, 1575302.39304893)
"orange-10-7","orange",10,7,36.0229458,-79.0638886,c(1504608.45264595, 1575733.15628089)
"orange-10-8","orange",10,8,36.0304407,-79.0607462,c(1504735.84805566, 1576608.93168459)
"orange-10-9","orange",10,9,36.033752,-79.0537372,c(1505286.08056221, 1577084.87105095)
"orange-10-10","orange",10,10,36.049837,-79.0702702,c(1503513.88091658, 1578595.91373542)
"orange-10-11","orange",10,11,36.058509,-79.0667173,c(1503653.93604148, 1579607.90758495)
"orange-10-12","orange",10,12,36.0653397,-79.0641683,c(1503742.28085743, 1580401.08279807)
"orange-10-13","orange",10,13,36.0760305,-79.0600792,c(1503889.21704556, 1581644.07111774)
"orange-10-14","orange",10,14,36.0810134,-79.0587684,c(1503905.39955459, 1582214.00292926)
"orange-10-15","orange",10,15,36.0856549,-79.0616071,c(1503563.91957312, 1582680.64911103)
"orange-10-16","orange",10,16,36.0928806,-79.0552735,c(1503976.64148675, 1583577.25203722)
"orange-10-17","orange",10,17,36.0974041,-79.0538135,c(1504014.99520126, 1584098.91509916)
"orange-10-18","orange",10,18,36.106163,-79.0539574,c(1503828.37033528, 1585062.00243887)
"orange-10-19","orange",10,19,36.1131349,-79.0501971,c(1504019.99912865, 1585889.92162696)
"orange-10-20","orange",10,20,36.1186023,-79.0443993,c(1504420.32269915, 1586584.28075006)
"orange-11-1","orange",11,1,35.8664557,-79.1124753,c(1503435.17970674, 1557717.45875794)
"orange-11-2","orange",11,2,35.8714547,-79.1169875,c(1502938.79139702, 1558197.02229449)
"orange-11-3","orange",11,3,35.8758005,-79.1234039,c(1502287.65526409, 1558574.52298625)
"orange-11-4","orange",11,4,35.8823334,-79.1259712,c(1501932.3268863, 1559253.9479038)
"orange-11-5","orange",11,5,35.8862418,-79.1268739,c(1501775.53040308, 1559670.43788596)
"orange-11-6","orange",11,6,35.8904379,-79.1344538,c(1501025.04068218, 1560013.15451066)
"orange-11-7","orange",11,7,35.8954701,-79.1387301,c(1500549.00375582, 1560500.24940558)
"orange-11-8","orange",11,8,35.9021476,-79.1401078,c(1500295.72929137, 1561214.47000179)
"orange-11-9","orange",11,9,35.901678,-79.1481126,c(1499600.17279645, 1561036.3686012)
"orange-11-10","orange",11,10,35.8995696,-79.1572095,c(1498840.78529415, 1560660.47103781)
"orange-11-11","orange",11,11,35.8973397,-79.165236,c(1498177.99662078, 1560288.12465337)
"orange-11-12","orange",11,12,35.9050319,-79.1650125,c(1498045.89135019, 1561139.49974871)
"orange-11-13","orange",11,13,35.9107611,-79.1660731,c(1497839.45877612, 1561754.27144176)
"orange-11-14","orange",11,14,35.9152892,-79.1714592,c(1497275.92015492, 1562168.50129539)
"orange-11-15","orange",11,15,35.9213541,-79.174945,c(1496849.42000708, 1562782.0952641)
"orange-11-16","orange",11,16,35.9277723,-79.1747848,c(1496736.94609899, 1563492.07256771)
"orange-11-17","orange",11,17,35.9340505,-79.1725804,c(1496807.158847, 1564218.81605569)
"orange-11-18","orange",11,18,35.9424246,-79.1709356,c(1496786.74266649, 1565167.77179332)
"orange-11-19","orange",11,19,35.948438,-79.1710726,c(1496656.06402844, 1565828.45420638)
"orange-11-20","orange",11,20,35.9555746,-79.1706757,c(1496550.21015944, 1566621.35558986)
"orange-12-1","orange",12,1,35.8669878,-79.0288844,c(1510787.31178453, 1559101.74636548)
"orange-12-2","orange",12,2,35.8701749,-79.0366946,c(1510036.07858624, 1559328.80759275)
"orange-12-3","orange",12,3,35.8751793,-79.0426384,c(1509413.14539831, 1559785.836218)
"orange-12-4","orange",12,4,35.8803353,-79.0499983,c(1508662.56029406, 1560237.13621545)
"orange-12-5","orange",12,5,35.8857531,-79.0567146,c(1507963.52778208, 1560727.56678296)
"orange-12-6","orange",12,6,35.8916171,-79.0596436,c(1507589.18494654, 1561327.30257447)
"orange-12-7","orange",12,7,35.8922374,-79.068173,c(1506825.86123166, 1561260.38532221)
"orange-12-8","orange",12,8,35.8938366,-79.0767132,c(1506042.17037323, 1561301.24449105)
"orange-12-9","orange",12,9,35.9003691,-79.0737198,c(1506176.14319408, 1562068.58715623)
"orange-12-10","orange",12,10,35.9074871,-79.0724645,c(1506145.44101944, 1562872.90956968)
"orange-12-11","orange",12,11,35.9158037,-79.0720676,c(1506015.37582887, 1563795.72070711)
"orange-12-12","orange",12,12,35.9207573,-79.0788222,c(1505322.56586749, 1564234.61512603)
"orange-12-13","orange",12,13,35.9223293,-79.0877209,c(1504508.14595789, 1564266.94347053)
"orange-12-14","orange",12,14,35.9276432,-79.093434,c(1503899.98550171, 1564762.1536868)
"orange-12-15","orange",12,15,35.9332005,-79.1006521,c(1503154.61622402, 1565260.42867724)
"orange-12-16","orange",12,16,35.9383188,-79.1048528,c(1502683.56291067, 1565758.09498066)
"orange-12-17","orange",12,17,35.9439156,-79.1123079,c(1501916.70471588, 1566257.08836469)
"orange-12-18","orange",12,18,35.947161,-79.119001,c(1501263.50985976, 1566509.0267209)
"orange-12-19","orange",12,19,35.9544462,-79.122074,c(1500848.97727091, 1567263.44226364)
"orange-12-20","orange",12,20,35.9613548,-79.1262375,c(1500346.00169228, 1567959.15483696)
