"common_name","sp_id","z_tempwq","ebird_code","ebirdst_association_forest","ebirdst_association_grassland","City","Sample","UAI","SD","scale_z_tempwq","scale_UAI","scale_eaforest","scale_eagrassland"
"Common Grackle",16,1.18948476424114,"comgra",0.115570064379659,0.15439065136295,"Charlotte_US",16147,2.295524964,1.167889602,0.831551646160421,1.32234759036111,-0.357088629414671,-0.0115217881986073
"Common Yellowthroat",17,1.1548737604161,"comyel",0.112590352594468,0.125340736265273,"Charlotte_US",6676,1.71276152,1.2568525,0.771329164555084,-0.0388520483454014,-0.390579431253639,-0.730246689976265
"Downy Woodpecker",18,1.36025195758062,"dowwoo",0.103232013060844,0.165359911798234,"Charlotte_US",33404,2.003607264,1.140305475,1.12868328128051,0.640495851266723,-0.495763528729124,0.259869043837025
"Eastern Bluebird",19,0.704564440981363,"easblu",0.122930584707877,0.131921297196562,"Charlotte_US",36429,1.908389189,1.152707311,-0.0122003985704519,0.41808861103439,-0.274359242978982,-0.567436816244111
"Eastern Kingbird",20,1.18818155464645,"easkin",0.100694695998708,0.151910489560437,"Charlotte_US",4543,1.525615366,1.222682117,0.829284086506825,-0.475981864624876,-0.524281985901042,-0.0728835526619528
"Eastern Meadowlark",21,0.536221970084726,"easmea",0.0900099718000044,0.216360109530507,"Charlotte_US",5002,1.140157102,1.203298346,-0.305113063231019,-1.37632256906556,-0.644374131262635,1.52166660787535
"Eastern Phoebe",22,1.22289328352619,"easpho",0.140775124036128,0.13499841578731,"Charlotte_US",22941,1.993141684,1.22431473,0.889681827771908,0.616050694554295,-0.073793559572854,-0.491305724312954
"Eastern Towhee",23,0.713906500772663,"eastow",0.179763108598074,0.104999863548021,"Charlotte_US",26706,2.058724155,1.19326501,0.0040546059587867,0.769236068053256,0.364416226875059,-1.23350088871049
"Eastern Wood-Pewee",24,0.750218189628016,"eawpew",0.200340071564859,0.118407464618047,"Charlotte_US",5029,1.472987894,1.278670104,0.0672362468382146,-0.598907378587686,0.595693289506875,-0.901782991094364
"European Starling",25,1.18214544289769,"eursta",0.102319072965832,0.223913858264976,"Charlotte_US",15651,2.405219084,1.157944175,0.818781368047834,1.57856749922731,-0.506024620410827,1.70855415295009
"Field Sparrow",26,0.623459565577498,"fiespa",0.113601795419317,0.115441454687358,"Charlotte_US",9669,1.570051425,1.179049255,-0.153321323343476,-0.372189583075484,-0.379211207190219,-0.975165140024516
"Fish Crow",27,-0.480863436915049,"fiscro",0.12590258354988,0.10391124086444,"Charlotte_US",8472,2.097529693,1.202703676,-2.07482212812056,0.859876764289878,-0.240955131622358,-1.26043453821339
"Grasshopper Sparrow",28,0.791013565152479,"graspa",0.0596372317681011,0.260597896312696,"Charlotte_US",1017,0.968791001,1.259327275,0.138219416367881,-1.7765938578181,-0.985751919131391,2.61615514090491
"Gray Catbird",29,1.08266051295692,"grycat",0.111103597454134,0.150590413030802,"Charlotte_US",6764,2.399479954,1.14116002,0.645679501553234,1.56516222859319,-0.407289980923396,-0.105543609357842
"Great Crested Flycatcher",30,0.728322298245022,"grcfly",0.123415285820026,0.132919486854425,"Charlotte_US",5999,1.877191176,1.312587031,0.0291378165612283,0.34521732087165,-0.268911390948867,-0.542740573195179
"Hairy Woodpecker",31,1.34589998202864,"haiwoo",0.139172257990946,0.141303583962819,"Charlotte_US",5005,1.730016062,1.152390977,1.10371111959319,0.00145054197364156,-0.0918091506647149,-0.335309351779779
"Hooded Warbler",32,0.201831881857987,"hoowar",0.411348535470787,0.084123593240897,"Charlotte_US",1151,1.415665973,1.388362142,-0.88694539144198,-0.732798031748085,2.96734637560073,-1.75000137676773
"House Finch",33,0.579092854021211,"houfin",0.0735167996029342,0.185030868945583,"Charlotte_US",34091,2.191716914,1.097248213,-0.230518548945316,1.07987616973641,-0.829750973577821,0.746548839494379
"House Sparrow",34,0.947275153765366,"houspa",0.0524587395160419,0.220724025832743,"Charlotte_US",6337,2.674574215,1.034596618,0.410111577988805,2.20771833354242,-1.06643538077057,1.62963440417164
"Indigo Bunting",35,0.551487401307126,"indbun",0.139846751046356,0.12842055793731,"Charlotte_US",7159,1.513170743,1.193492625,-0.278551506229213,-0.505049604727391,-0.0842281109907561,-0.654048721022321
"Mourning Dove",36,0.783529185176046,"moudov",0.0858195230721176,0.213760350773455,"Charlotte_US",41085,1.927705442,1.172780022,0.125196739021205,0.463206877932345,-0.6914731455564,1.457345891239
"Northern Bobwhite",37,-0.00685356286686836,"norbob",0.0873874578736932,0.192069669955489,"Charlotte_US",664,0.588206286,0.692366143,-1.25005405537364,-2.66555108718614,-0.673850168060064,0.920696046034122
"Northern Cardinal",38,0.169421480927829,"norcar",0.0597753781468608,0.182767740675087,"Charlotte_US",61272,2.017894152,1.144553337,-0.943338866294793,0.673866693216515,-0.984199207550759,0.690556708761696
"Northern Flicker",39,1.3803100435721,"norfli",0.121992100810305,0.149547171463273,"Charlotte_US",10865,1.875570252,1.244943381,1.16358396548968,0.341431220034531,-0.284907437069046,-0.131354483180761
"Northern House Wren",40,1.27181278643,"y01309",0.0505495625696966,0.190560393408533,"Charlotte_US",3928,2.412905636,1.110904313,0.974800822836578,1.59652149396226,-1.08789378728605,0.883354985507133
"Northern Mockingbird",41,0.644797868693798,"normoc",0.0908038850920926,0.210454040068023,"Charlotte_US",34679,2.119903216,1.191172836,-0.116193085936482,0.912136101655233,-0.635450854563595,1.37554434968482
"Northern Parula",42,0.701816399288799,"norpar",0.308112996629247,0.110149179911423,"Charlotte_US",5102,1.857067201,1.293045877,-0.0169819383119083,0.298212403556798,1.80701906097105,-1.10610148375305
"Northern Rough-winged Swallow",43,0.748977358470351,"nrwswa",0.058085272634769,0.144634973676862,"Charlotte_US",4548,2.007888136,1.216265986,0.0650772244664407,0.650494970943401,-1.00319533632862,-0.252887329651386
"Orchard Oriole",44,0.39093953163551,"orcori",0.0719471988988775,0.14502326009469,"Charlotte_US",1781,1.272317546,1.186213031,-0.557901714531461,-1.06762656131788,-0.847392675170279,-0.243280722658675
"Ovenbird",45,1.85595565700869,"ovenbi1",0.340299251625188,0.125102790920267,"Charlotte_US",1959,1.789277239,1.445120896,1.9911981933417,0.139870845361311,2.1687800518712,-0.736133703557643
"Pileated Woodpecker",46,1.29048891428588,"pilwoo",0.248355730306489,0.138430916302813,"Charlotte_US",5572,1.236243901,1.139349163,1.00729692644412,-1.15188619195598,1.1353706234274,-0.406382116530915
"Pine Warbler",47,0.638793073271427,"pinwar",0.256270781752952,0.110005992759856,"Charlotte_US",16577,1.691423121,1.162667817,-0.126641314589299,-0.0886935771997327,1.22433272400913,-1.10964408176409
"Prairie Warbler",48,0.149464048654638,"prawar",0.263232944971939,0.094952756754198,"Charlotte_US",1363,0.970526822,0.950078091,-0.978064414968202,-1.77253938435655,1.30258473143363,-1.48207668727169
"Purple Martin",49,0.587671717479333,"purmar",0.0780366656422575,0.149305881015157,"Charlotte_US",1695,1.256823231,1.120697271,-0.215591491370994,-1.10381767144524,-0.778949436793634,-0.137324258067847
"Red-bellied Woodpecker",50,0.235725583238354,"rebwoo",0.113560229154456,0.168331757645384,"Charlotte_US",38482,1.899075687,1.182343396,-0.827971002307413,0.396334440130196,-0.379678395844694,0.333395579367658
"Red-eyed Vireo",51,1.21043098516754,"reevir1",0.222057526578417,0.125362667737616,"Charlotte_US",7843,1.790417068,1.28578689,0.867997668090846,0.142533220359196,0.839789039277235,-0.729704082700045
"Red-headed Woodpecker",52,0.722503970853562,"rehwoo",0.0924209579827009,0.137674177691223,"Charlotte_US",3400,1.462107336,1.30859767,0.0190140386992142,-0.624321827230633,-0.617275584053311,-0.425104611328494
"Red-winged Blackbird",53,1.0438858974451,"rewbla",0.0856574621529845,0.169371978987737,"Charlotte_US",9658,2.039690178,1.219798913,0.578212415616674,0.724777132129423,-0.693294647271936,0.359131729700486
"Ruby-throated Hummingbird",54,0.896428842057671,"rthhum",0.154507227814521,0.13162920139192,"Charlotte_US",10490,1.832861977,1.186847218,0.321639972628994,0.24167463938707,0.080549947326027,-0.574663568122563
"Scarlet Tanager",55,1.31699655923608,"scatan",0.4000376897129,0.0961319340950926,"Charlotte_US",2631,1.897257226,1.327746239,1.05341971931323,0.392086938881299,2.84021686737407,-1.45290262202354
"Song Sparrow",56,1.73492041415983,"sonspa",0.135143771385675,0.147854817406542,"Charlotte_US",18197,2.148172976,1.189833715,1.78059919647616,0.978167675005465,-0.137087773677383,-0.173225070378942
"Summer Tanager",57,-0.279264019078903,"sumtan",0.170014481637435,0.159836192113974,"Charlotte_US",5059,1.10903916,1.088694327,-1.72404301481728,-1.44900683202645,0.254845450478692,0.12320651404414
"Tufted Titmouse",58,0.279741609423659,"tuftit",0.143670749100262,0.209538900402848,"Charlotte_US",44204,1.816188187,1.140306514,-0.751383962512664,0.202728550442156,-0.0412478597824143,1.35290284922762
"White-breasted Nuthatch",59,0.953570969864269,"whbnut",0.103407158267787,0.174104988242893,"Charlotte_US",15304,1.740125613,1.201613494,0.421066177026827,0.0250640978861931,-0.49379496470628,0.476231266844977
"White-eyed Vireo",60,-0.133133929575738,"whevir",0.220981560845406,0.147013687278719,"Charlotte_US",4656,1.52710356,1.186302397,-1.46977946697058,-0.472505790145631,0.827695602815063,-0.194035498446257
"Wild Turkey",61,0.671329319515709,"wiltur",0.110946770213481,0.172792474780971,"Charlotte_US",1319,0.70298557,0.819145883,-0.0700288713080277,-2.39745341990729,-0.409052658127871,0.443758328255316
"Wood Thrush",62,0.837371656976726,"woothr",0.320113768107745,0.102034281359726,"Charlotte_US",3036,1.615441287,1.268283276,0.218881605371611,-0.266169439925704,1.94190306602771,-1.30687245485205
"Yellow-billed Cuckoo",63,0.255303223210735,"yebcuc",0.147892642085168,0.148938899793206,"Charlotte_US",3710,1.224684362,1.117388482,-0.793906284939706,-1.17888658203263,0.00620457573351005,-0.146403752510916
"Yellow-breasted Chat",64,0.679059948342185,"yebcha",0.087050944572257,0.202207483429369,"Charlotte_US",1707,1.199657166,1.036786864,-0.0565777256939466,-1.23734428129943,-0.677632446718889,1.17151602154026
"Yellow-throated Vireo",65,0.646454760889004,"yetvir",0.287117037848792,0.115010635663948,"Charlotte_US",1020,1.113200839,1.255380412,-0.113310125353998,-1.43928611942937,1.57103264831527,-0.985824047606282
"Yellow-throated Warbler",66,-0.137420521131125,"yetwar",0.272033587015312,0.0950825688890727,"Charlotte_US",1417,1.120411511,1.134459391,-1.47723805391012,-1.42244366950859,1.40150052597294,-1.47886500098711
