,City,Species,Sample,UAI,SD,SE
14461,Nairobi_KE,African Pipit,196,0.638962533,0.693092833,0.049506631
10257,Kampala_UG,African Pygmy Kingfisher,218,0.628157775,0.750060603,0.050800514
3825,Cape_Town_ZA,African Reed Warbler,160,2.409877381,1.015793778,0.080305549
10084,Johannesburg_ZA,African Reed Warbler,264,1.950129886,1.063428606,0.065449506
10979,Lisbon_PT,African Reed Warbler,183,1.180734933,0.889904779,0.065783654
195,Addis_Ababa_ET,African Sacred Ibis,587,1.933207847,1.249271475,0.051562952
3870,Cape_Town_ZA,African Sacred Ibis,2367,1.844061974,1.293230613,0.026581339
6233,Dakar_SN,African Sacred Ibis,103,1.876249722,0.232132694,0.022872714
7395,Durban_ZA,African Sacred Ibis,256,1.661917425,1.250716421,0.078169776
10011,Johannesburg_ZA,African Sacred Ibis,2462,2.662320951,0.907723625,0.01829404
10212,Kampala_UG,African Sacred Ibis,148,1.000908215,0.898459004,0.073852875
11069,Livingstone_ZM,African Sacred Ibis,385,0.743068035,0.701969141,0.03577566
14293,Nairobi_KE,African Sacred Ibis,1338,1.802153094,1.226158486,0.033521122
21378,Taipei_TW,African Sacred Ibis,6962,2.778691633,0.78398414,0.009395941
160,Addis_Ababa_ET,African Silverbill,114,2.599615042,0.978062957,0.091603989
6231,Dakar_SN,African Silverbill,386,1.96238926,0.850289424,0.043278592
8936,Honolulu_US,African Silverbill,966,1.71498761,0.953418717,0.030675744
18134,Salalah_OM,African Silverbill,374,1.8669862,1.200906671,0.062097406
11145,Livingstone_ZM,African Skimmer,125,0.453427661,0.590001463,0.052771335
10147,Johannesburg_ZA,African Snipe,113,0.97917053,0.870087415,0.081850939
3899,Cape_Town_ZA,African Spoonbill,471,1.608045378,1.284968736,0.059208234
10124,Johannesburg_ZA,African Spoonbill,150,1.480488717,1.088484747,0.088874407
14419,Nairobi_KE,African Spoonbill,303,0.865721239,0.821142786,0.04717342
580,Antananarivo_MG,African Stonechat,381,1.147136979,0.964078316,0.049391228
3984,Cape_Town_ZA,African Stonechat,171,0.361963895,0.728817633,0.055734077
7497,Durban_ZA,African Stonechat,209,0.511401371,0.702707982,0.048607328
10126,Johannesburg_ZA,African Stonechat,1006,1.453122935,1.126319371,0.035510972
14476,Nairobi_KE,African Stonechat,208,0.537214592,0.675945492,0.046868387
3858,Cape_Town_ZA,African Swamphen,436,1.932974256,0.943835449,0.04520152
6254,Dakar_SN,African Swamphen,151,1.671439416,0.60301095,0.049072335
10104,Johannesburg_ZA,African Swamphen,311,1.75436537,1.021124518,0.057902659
3905,Cape_Town_ZA,African Swift,500,1.557239523,1.172640446,0.052442075
7412,Durban_ZA,African Swift,106,1.565512351,1.021328518,0.099200195
10052,Johannesburg_ZA,African Swift,174,2.281140784,0.964248193,0.073099467
10183,Kampala_UG,African Thrush,1091,1.296060074,0.900182901,0.027253255
14307,Nairobi_KE,African Yellow-Warbler,218,1.709097513,0.98356562,0.066615469
3203,Brisbane_AU,Albert's Lyrebird,649,0.110574737,0.142937038,0.00561077
496,Anchorage_US,Alder Flycatcher,3676,1.890226521,1.373123322,0.022647579
2314,Bogota_CO,Alder Flycatcher,127,3.179540864,1.439412828,0.127727234
3761,Calgary_CA,Alder Flycatcher,639,0.987446195,1.394130467,0.055150949
4634,Chicago_US,Alder Flycatcher,3165,2.459932293,1.362745611,0.024223
5772,Cusco_PE,Alder Flycatcher,116,2.392662637,2.019861699,0.187539451
8604,Halifax_CA,Alder Flycatcher,3813,0.789914358,0.893287103,0.014466306
9069,Houston_US,Alder Flycatcher,581,1.978975479,1.037693731,0.04305079
13484,Montreal_CA,Alder Flycatcher,7084,1.264376197,1.35255321,0.016069971
15721,Omaha_US,Alder Flycatcher,228,1.599042306,1.299410573,0.086055567
19780,Saskatoon_CA,Alder Flycatcher,115,1.84472647,1.720902309,0.160474968
21993,Thunder_Bay_CA,Alder Flycatcher,528,1.074981025,1.372934426,0.059749302
22423,Toronto_CA,Alder Flycatcher,3211,0.939932679,1.197023896,0.021124317
23149,Winnipeg_CA,Alder Flycatcher,533,1.258968961,1.530376744,0.066287975
1789,Bengaluru_IN,Alexandrine Parakeet,1752,3.229389331,0.905792224,0.021640213
6502,Delhi_IN,Alexandrine Parakeet,3537,3.221552573,1.01917497,0.017136859
7004,Dhaka_BD,Alexandrine Parakeet,196,2.979167717,0.471227736,0.033659124
9506,Istanbul_TR,Alexandrine Parakeet,661,4.168820624,0.546651264,0.02126227
13600,Mumbai_IN,Alexandrine Parakeet,4470,2.907336778,0.842143377,0.012595989
14192,Nagpur_IN,Alexandrine Parakeet,264,0.550519343,0.892829215,0.05494984
17053,Port_Blair_IN,Alexandrine Parakeet,338,0.257705653,0.563549195,0.030653035
20346,Shenzhen_CN,Alexandrine Parakeet,321,3.787499991,0.783585031,0.043735452
21648,Tehran_IR,Alexandrine Parakeet,974,4.037360432,0.553921026,0.017748775
22829,Visakhapatnam_IN,Alexandrine Parakeet,1165,2.128405021,0.952472468,0.027905478
11388,Los_Angeles_US,Allen's Hummingbird,171899,2.91880134,0.806090566,0.001944228
18742,San_Francisco_US,Allen's Hummingbird,31725,1.639441843,1.232394974,0.006919092
816,Athens_GR,Alpine Swift,1237,3.337181671,1.513951465,0.043045435
1331,Barcelona_ES,Alpine Swift,4398,3.3706205,1.347716978,0.020322217
2000,Bengaluru_IN,Alpine Swift,201,0.857500842,0.708748516,0.049991266
3909,Cape_Town_ZA,Alpine Swift,479,1.518023926,1.181193543,0.053970111
9514,Istanbul_TR,Alpine Swift,1988,3.186917255,1.41370211,0.031706603
10902,Lisbon_PT,Alpine Swift,225,1.718687421,1.258912248,0.083927483
13783,Mumbai_IN,Alpine Swift,276,1.455089994,1.208329474,0.072732887
20788,Sofia_BG,Alpine Swift,676,3.111322297,1.186979371,0.045653053
5256,Coatzacoalcos_MX,Altamira Oriole,381,1.789412371,1.880199866,0.096325557
8061,Guatemala_City_GT,Altamira Oriole,2109,0.468399153,0.798748259,0.017392885
11986,Managua_NI,Altamira Oriole,766,1.428141973,1.311960349,0.047403054
12689,Merida_MX,Altamira Oriole,4352,1.443004014,1.279355449,0.01939308
13227,Monterrey_MX,Altamira Oriole,186,1.572947276,1.152887896,0.084533842
4800,Chiclayo_PE,Amazilia Hummingbird,1283,1.034010649,1.451972279,0.040536383
8233,Guayaquil_EC,Amazilia Hummingbird,1575,2.414389787,1.509386315,0.03803296
10671,Lima_PE,Amazilia Hummingbird,4486,3.161643565,1.061035762,0.015841649
677,Asuncion_PY,Amazon Kingfisher,725,2.831310371,1.310995747,0.04868916
2457,Bogota_CO,Amazon Kingfisher,460,1.137038632,1.019114823,0.047516474
3506,Buenos_Aires_AR,Amazon Kingfisher,190,2.736587683,1.164337861,0.084469947
5308,Coatzacoalcos_MX,Amazon Kingfisher,127,0.874723573,1.189261229,0.105529869
6006,Cusco_PE,Amazon Kingfisher,135,0.058818853,0.216597211,0.01864172
9363,Iquitos_PE,Amazon Kingfisher,461,0.915845678,1.402392581,0.065315934
12272,Manaus_BR,Amazon Kingfisher,109,0.805478779,1.169085115,0.111978045
16257,Panama_PA,Amazon Kingfisher,1056,1.233562336,0.935165198,0.02877772
17123,Porto_Alegre_BR,Amazon Kingfisher,119,2.814532542,1.147032763,0.105148321
19417,Sao_Paulo_BR,Amazon Kingfisher,1450,2.819962563,1.282350695,0.033676179
6197,Cusco_PE,Amazonian Antpitta,179,0.002269508,0.017478165,0.001306379
2532,Bogota_CO,Amazonian Motmot,679,0.894954987,0.991538282,0.038051747
5731,Cuiaba_BR,Amazonian Motmot,229,0.460886694,0.835689649,0.055223926
9405,Iquitos_PE,Amazonian Motmot,132,0.252759855,0.613720107,0.053417479
16068,Palmas_BR,Amazonian Motmot,114,0.175307881,0.520951518,0.04879158
19025,Santa_Cruz_de_la_Sierra_BO,Amazonian Motmot,143,1.142376105,1.223975677,0.102353988
12228,Manaus_BR,Amazonian Pygmy-Owl,126,1.602563831,1.681401357,0.149791138
9449,Iquitos_PE,Amazonian Trogon,120,0.110161059,0.563652772,0.051454223
17362,Puerto_Princesa_PH,Ameline Swiftlet,224,0.227204016,0.478668789,0.031982404
17763,Quezon_City_PH,Ameline Swiftlet,513,2.962759106,1.20110424,0.053030048
2270,Billings_US,American Avocet,581,0.669856139,1.060665789,0.044003832
3772,Calgary_CA,American Avocet,5873,0.806487346,1.132974881,0.014783943
4562,Chicago_US,American Avocet,1027,2.874461325,1.018648097,0.031786225
5029,Ciudad_Juarez_MX,American Avocet,866,1.922017904,1.277247484,0.043402636
6869,Denver_US,American Avocet,14891,1.461404608,1.205840331,0.009881614
9243,Houston_US,American Avocet,8304,1.021113968,0.904882925,0.009929988
9832,Jacksonville_US,American Avocet,1230,1.283996561,1.14781033,0.032727857
11430,Los_Angeles_US,American Avocet,20967,2.746703143,0.998110363,0.006893034
12725,Merida_MX,American Avocet,353,1.11329057,0.905705198,0.048205824
12965,Mexico_City_MX,American Avocet,893,2.067556107,0.806974477,0.027004371
15037,New_Orleans_US,American Avocet,877,1.817173401,1.203838775,0.040650747
15536,Oklahoma_City_US,American Avocet,936,1.59325996,1.052184507,0.034391726
15723,Omaha_US,American Avocet,644,1.596570814,1.417590428,0.055860888
16722,Phoenix_US,American Avocet,12911,2.555320035,0.779213399,0.006857668
17469,Puerto_Vallarta_MX,American Avocet,166,1.161583491,0.88577452,0.068749436
18285,Salt_Lake_City_US,American Avocet,11011,1.05810253,1.204949795,0.011483005
18613,San_Angelo_US,American Avocet,108,0.33739681,0.386946721,0.037233966
18657,San_Francisco_US,American Avocet,51883,2.013430813,1.032279225,0.004531945
19842,Saskatoon_CA,American Avocet,635,0.79068771,1.114126542,0.044212763
23214,Winnipeg_CA,American Avocet,417,0.332608498,0.485055241,0.023753257
4339,Charlotte_US,American Bittern,134,2.821963472,0.910279252,0.07863615
4731,Chicago_US,American Bittern,1368,1.881116017,1.552792129,0.041982691
8567,Halifax_CA,American Bittern,226,0.995821384,0.960725441,0.063906506
9261,Houston_US,American Bittern,2225,0.885948607,1.165587509,0.024710406
9911,Jacksonville_US,American Bittern,358,0.75580724,0.82801526,0.043761966
13503,Montreal_CA,American Bittern,5326,0.833005563,1.15524339,0.015829708
15131,New_Orleans_US,American Bittern,136,1.072565919,1.209532749,0.103716578
15301,New_York_City_US,American Bittern,1597,1.870387206,1.317785912,0.032975577
15718,Omaha_US,American Bittern,124,1.621587278,1.368584864,0.122902549
18406,Salt_Lake_City_US,American Bittern,102,0.292531369,0.736690813,0.07294326
18700,San_Francisco_US,American Bittern,2617,1.826145528,1.173645058,0.022942192
19994,Seattle_US,American Bittern,2580,1.179689104,1.225340786,0.024123873
22426,Toronto_CA,American Bittern,1382,0.607849698,1.01100541,0.027195651
23206,Winnipeg_CA,American Bittern,312,0.517651535,0.882552599,0.049964702
4431,Charlotte_US,American Black Duck,367,1.842971579,1.233643646,0.064395674
4614,Chicago_US,American Black Duck,9287,2.601368905,1.247763461,0.012947757
8498,Halifax_CA,American Black Duck,26233,1.523400476,1.249036133,0.007711716
13372,Montreal_CA,American Black Duck,36403,2.187138512,1.406547114,0.007372006
14554,Nashville_US,American Black Duck,419,1.505056617,1.249451317,0.061039691
15208,New_York_City_US,American Black Duck,125250,2.234887845,1.166872647,0.003297119
21965,Thunder_Bay_CA,American Black Duck,295,1.36417734,1.337425927,0.077867948
22271,Toronto_CA,American Black Duck,34884,2.330303989,1.080401359,0.005784582
22996,Winnipeg_CA,American Black Duck,293,3.160846179,1.184138757,0.069178125
2196,Billings_US,American Coot,1591,1.385071429,1.162578154,0.029146544
2334,Bogota_CO,American Coot,2687,2.578374593,1.383861004,0.026696765
3726,Calgary_CA,American Coot,15503,1.638058912,1.540577635,0.01237302
4361,Charlotte_US,American Coot,1514,2.227783296,1.419496988,0.036481403
4610,Chicago_US,American Coot,41022,2.624202506,1.402433092,0.006924266
5008,Ciudad_Juarez_MX,American Coot,4102,2.176901606,1.283112444,0.020033964
5270,Coatzacoalcos_MX,American Coot,284,1.578973536,1.710844908,0.101519968
6808,Denver_US,American Coot,55821,1.849847052,1.199499326,0.00507693
7898,Guatemala_City_GT,American Coot,2830,1.047386248,0.491703331,0.009242936
8456,Halifax_CA,American Coot,979,2.52818823,0.980517472,0.031337474
8754,Havana_CU,American Coot,343,1.500900799,0.751210425,0.04056155
9161,Houston_US,American Coot,29354,1.653138953,1.318118766,0.007693446
9730,Jacksonville_US,American Coot,5901,1.718118048,1.301823026,0.016946856
10397,Kingston_JM,American Coot,170,0.355567485,0.510785795,0.039175482
11429,Los_Angeles_US,American Coot,127303,2.747380581,0.971866037,0.002723874
12117,Managua_NI,American Coot,218,0.314198687,0.51746004,0.035046816
12607,Merida_MX,American Coot,795,3.150316979,1.082377153,0.038387962
12924,Mexico_City_MX,American Coot,3393,2.32574519,1.103283957,0.018940672
13204,Monterrey_MX,American Coot,772,1.760049107,1.471065183,0.052944794
13499,Montreal_CA,American Coot,2937,0.888561295,1.266952362,0.023378052
14502,Nashville_US,American Coot,6516,1.914693532,1.180060397,0.014618866
14731,Nassau_BS,American Coot,685,2.465673616,0.97098363,0.037099377
14928,New_Orleans_US,American Coot,5576,2.319267415,1.356952459,0.018172022
15153,New_York_City_US,American Coot,35254,2.779106756,1.077064131,0.005736373
15477,Oklahoma_City_US,American Coot,8980,1.901459907,0.995593543,0.010506157
15698,Omaha_US,American Coot,5844,1.735510187,1.282685235,0.016778958
16748,Phoenix_US,American Coot,48251,2.334227333,1.28071808,0.005830427
17467,Puerto_Vallarta_MX,American Coot,2124,1.168564577,0.994665739,0.021582408
18221,Salt_Lake_City_US,American Coot,26260,1.594446687,1.306188613,0.008060436
18554,San_Angelo_US,American Coot,2036,0.707348562,0.754380419,0.016718662
18656,San_Francisco_US,American Coot,143534,2.021079987,1.188365988,0.003136699
19798,Saskatoon_CA,American Coot,1090,1.486134787,1.682578767,0.050963841
19874,Seattle_US,American Coot,45236,2.174971666,1.081533366,0.00508508
21958,Thunder_Bay_CA,American Coot,169,1.515264488,1.081323485,0.08317873
22228,Toronto_CA,American Coot,10508,2.493571242,1.091874196,0.010651544
23088,Winnipeg_CA,American Coot,1964,2.059338301,1.644235012,0.037101644
531,Anchorage_US,American Crow,422,1.26763705,1.504466506,0.073236284
2146,Billings_US,American Crow,2273,2.046817334,1.222281531,0.025637256
3608,Calgary_CA,American Crow,38877,2.943979613,1.188993694,0.00603022
4435,Charlotte_US,American Crow,36767,1.827793549,1.196459017,0.006239772
4600,Chicago_US,American Crow,151686,2.67072758,1.515701399,0.003891714
5096,Ciudad_Juarez_MX,American Crow,2127,1.440829987,1.370949116,0.029726076
6766,Denver_US,American Crow,158350,2.159786866,1.216638893,0.003057403
8500,Halifax_CA,American Crow,66320,1.514462389,1.318167346,0.005118566
9057,Houston_US,American Crow,63128,2.105204124,1.212938195,0.00482756
9700,Jacksonville_US,American Crow,44857,1.978807784,1.100881021,0.005197868
11395,Los_Angeles_US,American Crow,233855,2.859615216,0.88220074,0.001824291
13356,Montreal_CA,American Crow,180752,2.311299445,1.448799905,0.003407743
14532,Nashville_US,American Crow,44500,1.636393581,1.142519445,0.005416062
14915,New_Orleans_US,American Crow,35604,2.405146264,1.341444868,0.007109244
15327,New_York_City_US,American Crow,280553,1.749490729,1.284007347,0.002424153
15478,Oklahoma_City_US,American Crow,26080,1.901091407,1.097090303,0.006793422
15693,Omaha_US,American Crow,10624,1.766546803,1.381458674,0.013402748
18177,Salt_Lake_City_US,American Crow,9477,2.296599686,1.388079212,0.014258663
18648,San_Francisco_US,American Crow,324695,2.071315994,1.179442874,0.002069851
19744,Saskatoon_CA,American Crow,6532,2.873567599,1.56540486,0.019368839
19882,Seattle_US,American Crow,307995,1.971958793,1.16890017,0.002106229
21947,Thunder_Bay_CA,American Crow,7205,1.786427983,1.579935267,0.018613254
22323,Toronto_CA,American Crow,185774,2.025269008,1.339247376,0.003107194
23001,Winnipeg_CA,American Crow,28311,3.053586279,1.457137537,0.008660101
469,Anchorage_US,American Dipper,1159,2.234862872,1.878861946,0.05518908
3698,Calgary_CA,American Dipper,827,1.999342589,1.657605568,0.057640593
6846,Denver_US,American Dipper,5618,1.596112628,1.24281636,0.016581205
7954,Guatemala_City_GT,American Dipper,173,0.832591454,0.3871613,0.029435329
18322,Salt_Lake_City_US,American Dipper,1697,0.916495313,1.005701825,0.024413403
20061,Seattle_US,American Dipper,2524,0.687190113,0.856451584,0.0170474
12784,Merida_MX,American Flamingo,1578,0.846076146,0.861907991,0.021697386
674,Asuncion_PY,American Golden-Plover,144,2.855309899,0.885553593,0.073796133
4753,Chicago_US,American Golden-Plover,1183,1.568056557,1.482064547,0.043089827
8653,Halifax_CA,American Golden-Plover,277,0.394915319,0.556276758,0.033423431
9277,Houston_US,American Golden-Plover,2146,0.768097398,0.847345381,0.018291344
13516,Montreal_CA,American Golden-Plover,443,0.652992781,0.810326365,0.038499767
14689,Nashville_US,American Golden-Plover,268,0.584257147,0.617279991,0.037706377
14963,New_Orleans_US,American Golden-Plover,130,2.115835806,1.07531576,0.094311431
15373,New_York_City_US,American Golden-Plover,1839,1.373774522,0.997226723,0.023254288
15576,Oklahoma_City_US,American Golden-Plover,160,1.374448768,1.04127665,0.082320147
15841,Omaha_US,American Golden-Plover,133,0.322394294,0.554353037,0.048068505
22403,Toronto_CA,American Golden-Plover,1115,1.291642711,1.294843212,0.038777495
2214,Billings_US,American Goldfinch,2397,1.248189597,1.170142081,0.023900368
3674,Calgary_CA,American Goldfinch,8516,2.256365602,1.376692479,0.014918292
4417,Charlotte_US,American Goldfinch,30143,1.913136425,1.141502312,0.006574815
4622,Chicago_US,American Goldfinch,240671,2.550164644,1.253823523,0.002555786
5073,Ciudad_Juarez_MX,American Goldfinch,292,1.582200047,1.111435871,0.065041865
6787,Denver_US,American Goldfinch,100845,1.99780802,1.139260833,0.003587534
8506,Halifax_CA,American Goldfinch,44600,1.475162317,1.299516673,0.00615339
9015,Houston_US,American Goldfinch,28008,2.419593871,1.163782157,0.006953935
9708,Jacksonville_US,American Goldfinch,9871,1.921906092,0.951300324,0.009574962
11399,Los_Angeles_US,American Goldfinch,48941,2.842720898,0.909062351,0.0041092
13348,Montreal_CA,American Goldfinch,146830,2.383556238,1.392396918,0.003633755
